"",weight,が悪い,が良く,が良い,が悪く,の良い,にあります,もよく,が良いです,も良いです,のよい,も良く,が高い,もいいです,はありません,も満足しています,がよく,は高いです,がよい,がいいです,にあるので,にある,はいいです,の高い,がいい,も悪くなく,の悪い,がある,になり,になります,は良いです,がなります,が高いので,もなく,が良いと,を上げて,にあり,があります,は抜群で,が悪いのか,が高く,を上げると,にありません,があり,は高い,も良い,を上げた,がなる,を上げる,は良いと,になる,もありません,を上げても,に優れた,が良くなく,はなく,が悪いと,が遅い,が鈍い,にない,は感じです
weight,"",0.0339422433201033,0.0107944800738497,0.0094413132953652,0.0093343650732319,0.00874854596431751,0.00694226400547249,0.00654246387882427,0.00617699695019769,0.00606994359399165,0.00601939889475831,0.00579280536892383,0.00578082419795361,0.00570286387256901,0.00564916118827444,0.00562379179382671,0.00556374706264698,0.00554973564649329,0.00550759856332141,0.00547808328217645,0.00545027514994962,0.00523943221622496,0.00522159774764595,0.00513146482882828,0.00502954095143689,0.00494990967098505,0.00493930275577466,0.00481098237793827,0.00479408975538405,0.004766013299515,0.00475594439599425,0.00469576412296386,0.00464763418214627,0.00457230637679735,0.00451496732282153,0.00448143756093905,0.00441687462996052,0.00437368688107599,0.0043362777288355,0.00429121010374043,0.00428830621462684,0.00426019397811744,0.00421820430982847,0.00420840121619515,0.00419963484415248,0.00416433080311944,0.00415486158376774,0.00414677711253109,0.00412415904139345,0.00412312183129171,0.00409830055819427,0.00406697329978419,0.00391769693730044,0.00391501388111019,0.00390550180295592,0.00389499707753858,0.00384977197131379,0.00378225341349087,0.00378225341349087,0.00377553122279696,0.00376168853739661
持ち,0.000679307360259169,30,0,22,6,0,0,0,4,0,0,0,0,0,7,0,1,0,6,1,0,0,1,0,9,0,0,1,0,0,5,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,1,5,0,0,0,2
位置,0.000625657280422061,5,0,0,3,0,4,1,0,0,0,0,0,1,0,0,0,0,0,0,6,8,0,0,0,0,1,0,0,0,0,2,0,0,0,0,2,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2,1
バランス,0.000611192730097837,6,10,14,2,20,0,5,7,4,6,6,2,0,0,1,5,0,3,3,0,0,0,2,4,1,0,0,0,1,5,0,0,1,9,0,0,0,0,0,0,0,0,0,0,1,0,2,0,8,0,0,0,0,0,0,4,0,0,0,0
レスポンス,0.000594831235481573,6,6,8,1,2,0,0,0,0,0,6,0,1,1,0,4,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
使い勝手,0.000561673597059605,7,10,17,1,12,0,4,15,1,5,4,0,1,4,0,5,0,6,12,0,0,3,0,1,1,0,0,0,0,10,0,0,1,6,0,0,1,0,0,0,0,1,0,0,1,0,0,0,5,0,1,0,0,0,0,1,0,0,0,0
もち,0.000537275569895694,7,0,1,0,0,0,0,1,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
反応,0.000495710591142269,2,1,0,1,2,0,1,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,1,0,0,3,3,0,0
ホールド感,0.000491937113344508,5,5,3,3,3,0,5,2,4,0,6,1,3,9,2,1,1,0,1,0,0,2,0,1,1,0,0,0,0,14,0,0,0,1,0,0,1,0,0,1,0,2,2,0,1,0,0,0,4,0,5,0,0,0,0,0,0,0,0,3
質,0.000477991109205337,2,1,0,1,4,0,0,1,0,1,1,1,0,0,1,0,1,0,0,0,0,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
