"",weight,色乗り,評判,色のり,発色,気持ち,レスポンス,持ち,重量バランス,描写,ホールド性,感度,相性,音,写り,出来,視認性,色,反応,バランス,見た目,ヌケ,位置,質,取り回し,ボケ味,切れ,配置,描写力,操作性,シャッター音,ホールド感,使い勝手,携帯性,操作感,天気,もち,デザイン,補正,条件,画像,感触,カメラ,電池持ち,精度,色合い,レンズ,解像度,感じ,ボケ,音質
weight,"",2.28309614661052e-22,2.19436214496697e-22,2.17726593021715e-22,2.1237854150368e-22,2.10557862120485e-22,2.02258663265319e-22,1.90317591578899e-22,1.89992677587841e-22,1.72317833143967e-22,1.69118309862706e-22,1.68309346151297e-22,1.67532534236832e-22,1.6621772177127e-22,1.64685285150627e-22,1.64016655863357e-22,1.63486966284566e-22,1.61763927071055e-22,1.59538649721037e-22,1.59148743542204e-22,1.56669745997094e-22,1.55432441352608e-22,1.53346383034919e-22,1.52971533337551e-22,1.52296446112337e-22,1.50920244403321e-22,1.46971681834518e-22,1.45909872848951e-22,1.44903560272652e-22,1.44771423987611e-22,1.4362320309964e-22,1.43019416565592e-22,1.4115729310634e-22,1.38538905983901e-22,1.35312843882937e-22,1.32176743925045e-22,1.31121548556095e-22,1.2876545216851e-22,1.26696581405568e-22,1.21746119214881e-22,1.2004244274812e-22,1.19503061104809e-22,1.19168172563391e-22,1.18697856141675e-22,1.18569590658864e-22,1.11734905407309e-22,1.110605903394e-22,1.10184227687505e-22,1.09688695365226e-22,1.08279200918127e-22,1.05405423964084e-22
の良い,1.78628967568196e-23,2,14,1,1,13,2,0,0,2,0,1,1,0,7,5,2,0,2,20,0,5,0,4,0,0,4,0,0,4,0,3,12,11,0,15,0,1,0,2,0,0,3,0,2,1,5,0,0,0,0
が良く,1.77445184376885e-23,2,0,1,3,0,6,0,3,1,4,2,1,0,4,0,0,0,1,10,1,2,0,1,0,0,3,1,0,8,0,5,10,2,0,0,0,3,0,0,0,1,0,0,2,0,1,0,0,0,1
がよく,1.68271096502175e-23,0,1,2,1,1,4,1,2,0,1,0,0,0,0,0,1,0,1,5,0,0,0,0,1,0,0,1,0,3,1,1,5,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,1
のよい,1.67122342058105e-23,2,3,1,1,3,0,0,0,0,0,0,0,0,1,1,0,0,0,6,0,0,0,1,1,0,1,0,1,0,0,0,5,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
もよく,1.43841737322764e-23,3,0,6,6,0,0,6,0,0,0,0,0,0,1,0,0,0,1,5,0,1,1,0,0,0,0,0,0,5,0,5,4,6,2,0,0,1,0,0,1,1,0,1,0,2,0,1,0,0,0
も良く,1.30593211379424e-23,5,0,0,3,0,6,7,0,6,0,0,3,1,6,0,2,1,0,6,0,1,0,1,2,1,1,0,1,12,1,6,4,12,0,0,0,7,0,0,0,0,0,0,1,1,1,1,0,4,0
が良いです,1.28245550451137e-23,1,0,1,0,2,0,7,0,0,2,0,2,0,1,1,0,0,0,7,0,0,0,1,1,1,0,0,0,4,0,2,15,5,0,0,1,2,0,0,0,2,0,1,0,0,0,0,1,1,0
も良いです,1.23399900263379e-23,2,0,0,4,0,0,5,0,3,0,0,3,0,0,0,0,0,1,4,0,0,0,0,1,2,0,1,0,9,0,4,1,2,0,0,1,2,1,0,0,1,0,1,1,1,0,0,1,1,0
も良好です,1.22350396993282e-23,1,0,1,0,0,2,1,1,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,2,0,0,1,3,1,2,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
が悪く,1.21541234317783e-23,0,0,0,0,0,1,6,0,0,1,1,0,1,0,0,2,1,1,2,0,0,3,1,0,0,0,0,0,0,0,3,1,2,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
の悪い,1.18857539204181e-23,0,3,1,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,1,1,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,2,0,0,0,0
がいいです,1.18368220489187e-23,2,0,1,0,9,0,6,1,1,0,0,0,2,1,0,1,1,1,3,0,0,0,0,0,0,0,0,0,3,1,1,12,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0
が悪い,1.16702524316097e-23,0,0,0,2,0,6,36,1,0,2,2,0,1,2,0,1,2,2,6,0,0,5,2,0,0,0,0,0,6,0,5,7,3,0,0,7,0,0,2,1,0,0,0,2,0,1,1,0,0,0
が良い,1.11922970323543e-23,1,1,0,0,7,8,24,0,0,1,0,2,0,4,1,2,1,0,14,0,0,0,0,0,0,1,0,0,4,0,3,17,6,1,2,1,7,0,1,1,2,0,0,2,0,1,1,4,1,1
が良いので,1.08591142620925e-23,0,6,0,1,0,1,2,0,2,1,1,1,0,1,0,0,1,0,2,0,0,0,0,1,0,0,0,1,2,0,3,3,1,0,0,0,2,0,0,0,0,1,1,1,0,0,0,0,0,0
が悪いと,1.06547832590412e-23,1,0,0,0,0,0,6,0,0,0,1,0,1,1,0,1,0,0,4,0,1,0,1,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,2,1,0,0,0,0,0,0,2,0,0,0
もいいです,1.0398672095775e-23,0,0,0,1,0,1,6,1,1,0,0,2,0,0,0,0,0,0,0,2,0,1,0,0,3,0,0,0,3,0,3,1,1,1,0,1,3,0,0,1,3,0,0,1,0,0,0,2,0,1
がいい,9.94781743217161e-24,0,3,0,3,9,1,10,0,1,1,0,0,0,5,0,0,2,0,4,2,0,0,0,0,0,0,0,0,1,0,1,1,1,2,0,1,1,1,0,0,1,0,0,0,0,1,0,1,2,0
がよい,9.90055987258456e-24,0,0,0,0,2,0,6,0,0,0,0,1,2,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,2,0,0,6,3,1,1,1,1,1,1,0,1,0,0,1,0,0,0,0,0,0
は良好です,9.64847829031215e-24,1,0,0,1,0,0,0,1,0,3,0,0,0,1,0,0,1,0,3,0,0,0,0,0,0,0,0,0,6,0,9,5,3,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
は良い,9.42550596659305e-24,0,0,1,0,0,1,4,0,1,1,0,0,0,3,0,0,2,0,2,0,1,0,0,0,0,0,0,1,2,0,7,1,3,1,0,0,2,0,0,0,0,0,1,0,1,1,1,0,0,0
がいいので,8.94202797179437e-24,0,2,0,0,1,1,6,0,1,0,0,0,0,2,0,0,1,0,0,0,0,1,0,0,0,0,0,2,2,0,1,1,5,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
が良いのか,8.87079728135648e-24,0,1,0,0,0,0,0,1,0,0,0,1,0,0,2,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0
の高い,8.82874009423794e-24,0,3,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,5,0,0,0
は良く,8.61548340373563e-24,0,1,0,0,0,1,2,0,3,0,0,2,1,2,0,2,0,0,3,0,0,0,0,0,0,0,0,1,2,0,1,1,4,1,0,0,0,2,0,0,0,0,0,0,0,1,1,1,0,0
もいい,8.44257597287733e-24,0,2,0,1,0,0,0,0,1,0,1,0,0,3,0,0,2,0,2,1,0,0,0,0,2,0,1,0,5,1,3,1,0,0,0,0,2,0,0,0,0,0,0,0,1,3,0,0,2,0
が良くて,8.13340134497512e-24,1,0,0,0,0,1,2,0,2,0,0,0,0,2,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,1,1,0,0,1,0,0,0,0,1,1,0,0,0,1,0,0,0,0
もよい,7.97841234869827e-24,0,0,1,0,0,1,1,0,1,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
のある,7.84412369462934e-24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,7,0,4,0,0,0,0,0,0,0,0,1,7,0,0,1,0,0,0,0,0,2,0,0,0
が良いと,7.81872884647727e-24,0,0,0,0,0,0,2,2,4,0,1,2,1,2,1,0,0,0,9,0,0,0,0,0,0,0,0,0,2,0,1,6,1,0,0,1,1,1,0,0,1,1,0,0,0,2,0,0,0,0
もいいですね,7.81681025850755e-24,1,0,2,0,0,0,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
が悪いです,7.79863525425589e-24,0,0,0,0,0,0,10,0,0,0,1,0,0,0,0,1,0,0,2,1,0,0,0,0,0,0,0,0,2,0,0,2,1,0,0,2,0,0,0,0,1,0,0,0,0,0,1,0,0,0
にある,7.63553185547208e-24,0,0,0,0,0,0,0,0,5,0,0,0,0,2,0,0,0,0,0,0,0,8,0,1,0,0,1,3,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,6,0,1,0,0
はいいと,7.43473837959597e-24,0,0,0,0,0,0,0,0,0,0,0,2,0,2,1,0,0,0,4,0,0,1,0,1,0,0,0,0,9,0,0,3,0,0,0,2,6,0,0,0,0,1,0,1,0,3,0,1,0,0
も満足しています,7.40934914380998e-24,0,0,0,4,0,0,1,0,0,0,0,0,0,1,0,0,1,0,1,1,0,0,1,0,0,0,0,0,2,1,2,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1
が良くない,7.4033560610214e-24,0,0,0,1,1,0,5,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,2,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0
も気に入っています,7.35358723308588e-24,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,3,0,0,0,0,0,0,0,0,1,0,1,0,2,0,1,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,1,1,0
を考えると,7.33809573765456e-24,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,1,3,0,0,4,3,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0
があります,7.32980335193613e-24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,1,1,0,1,0,0,0,0,1,1,1,0,0,1,0,0,0,5,1,0
も悪くなく,7.31507483172689e-24,0,0,1,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
は感じです,7.30695507323688e-24,0,0,2,1,0,0,2,0,0,0,0,0,0,1,0,1,1,0,0,0,0,1,0,0,0,0,0,0,3,1,3,0,2,0,0,1,5,1,0,1,0,0,0,0,1,1,0,0,1,0
も良いので,7.17156678276462e-24,0,0,0,0,0,0,4,0,1,0,0,0,0,0,0,0,0,0,3,1,0,0,0,0,2,0,0,0,1,0,4,0,1,1,0,0,0,0,0,1,1,0,0,2,0,0,0,0,0,0
があり,7.11482803288576e-24,0,0,0,1,1,0,0,0,0,0,1,0,2,0,1,0,0,0,0,0,0,0,0,0,0,4,0,0,1,0,2,0,0,0,0,0,0,1,0,0,0,1,0,0,0,5,1,1,2,0
といい,7.08383528405258e-24,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,2,0,1,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0
もいいし,7.04798753439115e-24,0,0,1,2,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,4,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0
もある,6.99883842611574e-24,0,0,1,0,1,0,0,0,3,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0
も良い,6.98205465064234e-24,0,1,0,0,0,1,4,0,1,0,0,0,0,2,0,0,1,0,1,0,0,0,0,0,0,0,0,0,8,1,1,1,1,2,0,0,2,0,0,1,2,0,1,0,1,1,1,0,1,0
は良いです,6.90715518936918e-24,1,0,1,2,0,1,10,0,5,2,0,0,0,4,1,0,0,0,5,0,0,0,0,0,0,0,0,1,6,0,14,10,3,1,0,1,2,0,0,2,6,2,0,1,0,10,1,3,1,0
がいいと,6.77049108532825e-24,0,0,0,0,0,0,2,0,0,0,0,2,0,1,1,0,0,0,4,0,0,0,0,1,0,0,0,0,0,0,1,3,1,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0
で満足しています,6.76578855045301e-24,0,0,2,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2,0,2,0,0,1,0,0,3,0,0
はいいです,6.74058248187362e-24,1,0,0,1,0,0,1,0,0,0,0,1,0,7,1,0,0,0,0,1,0,0,0,0,3,0,0,1,4,0,2,3,10,0,0,0,3,1,0,0,0,3,0,0,0,4,0,0,0,1
