"",weight,色のり,色乗り,評判,重量バランス,発色,出来,レスポンス,気持ち,相性,写り,ホールド感,ホールド性,反応,配置,質,音,使い勝手,ヌケ,感度,取り回し,バランス,視認性,持ち,デザイン,位置,カメラ,見た目,描写,電池持ち,ボケ味,操作感,天気,携帯性,切れ,色,レンズ,補正,感触,描写力,感じ
weight,"",6.01149068551187e-20,5.34169133550587e-20,5.14567187549368e-20,5.0797004740657e-20,4.84279029158167e-20,4.7969420880467e-20,4.77417852747928e-20,4.53349187681725e-20,3.91508207754439e-20,3.78322822545069e-20,3.78082922666255e-20,3.74673044789313e-20,3.7411897109865e-20,3.71357845060748e-20,3.66210157381062e-20,3.65161486203633e-20,3.63504579852862e-20,3.62937282073965e-20,3.60430097361103e-20,3.54737037661833e-20,3.48871081636025e-20,3.43461178712448e-20,3.42334120693627e-20,3.37385963791343e-20,3.36455164548201e-20,3.33505613881287e-20,3.31571094508634e-20,3.26200141495523e-20,3.23518525395457e-20,3.16193900857216e-20,3.08706140821673e-20,3.0769799564707e-20,3.05671036203911e-20,3.02942327149754e-20,2.97853448245231e-20,2.94941953854073e-20,2.91462344983387e-20,2.89577638956989e-20,2.84453851562095e-20,2.83016853280503e-20
が良く,4.94986908298254e-21,1,2,0,3,3,0,6,0,1,4,5,4,1,1,1,0,10,2,2,0,10,0,0,3,0,0,1,1,0,0,0,0,2,3,0,1,0,1,0,0
がよく,4.84614683062872e-21,2,0,1,2,1,0,4,1,0,0,1,1,1,1,0,0,5,0,0,1,5,1,1,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0
の良い,4.78163546080653e-21,1,2,14,0,1,5,2,13,1,7,3,0,2,0,4,0,12,5,1,0,20,2,0,1,0,3,0,2,0,0,0,15,11,4,0,5,0,0,0,0
のよい,4.69340846027155e-21,1,2,3,0,1,1,0,3,0,1,0,0,0,0,1,0,5,0,0,1,6,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0
もよく,4.28608903481617e-21,6,3,0,0,6,0,0,0,0,1,5,0,1,0,0,0,4,1,0,0,5,0,6,1,1,0,0,0,1,0,2,0,6,0,0,0,0,1,0,0
も良く,3.70601474723606e-21,0,5,0,0,3,0,6,0,3,6,6,0,0,0,1,1,4,1,0,2,6,2,7,7,0,0,0,6,0,1,0,0,12,1,1,1,0,0,1,0
の悪い,3.5600066475761e-21,1,0,3,0,0,4,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,2,0,0,0,0
が良いです,3.52562242556685e-21,1,1,0,0,0,1,0,2,2,1,2,2,0,0,1,0,15,0,0,1,7,0,7,2,0,0,0,0,1,1,0,0,5,0,0,0,0,2,0,1
も良いです,3.44020379229337e-21,0,2,0,0,4,0,0,0,3,0,4,0,1,1,0,0,1,0,0,1,4,0,5,2,0,0,0,3,1,2,0,0,2,0,0,0,1,1,0,1
も良好です,3.4265196948931e-21,1,1,0,1,0,0,2,0,0,0,2,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,1,1,0,2,1,0,0,0,0,0,0,0,1,0
がいいです,3.18862185596968e-21,1,2,0,1,0,0,0,9,0,1,1,0,1,0,0,2,12,0,0,0,3,1,6,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,2
が悪く,3.0990517931516e-21,0,0,0,0,0,0,1,0,0,0,3,1,1,0,1,1,1,0,1,0,2,2,6,0,3,0,0,0,0,0,0,1,2,0,1,0,0,0,0,0
が良い,3.02746338034481e-21,0,1,1,0,0,1,8,7,2,4,3,1,0,0,0,0,17,0,0,0,14,2,24,7,0,0,0,0,0,0,1,2,6,1,1,1,0,2,0,4
が良いので,2.88640137910399e-21,0,0,6,0,1,0,1,0,1,1,3,1,0,0,0,0,3,0,1,1,2,0,2,2,0,1,0,2,1,0,0,0,1,0,1,0,0,0,1,0
が悪い,2.86717408692795e-21,0,0,0,1,2,0,6,0,0,2,5,2,2,0,2,1,7,0,2,0,6,1,36,0,5,0,0,0,0,0,0,0,3,0,2,1,0,0,0,0
は良好です,2.75842154487296e-21,0,1,0,1,1,0,0,0,0,1,9,3,0,0,0,0,5,0,0,0,3,0,0,1,0,0,0,0,0,0,2,0,3,0,1,0,0,0,0,0
もいいです,2.67362146660587e-21,0,0,0,1,1,0,1,0,2,0,3,0,0,0,0,0,1,0,0,0,0,0,6,3,1,0,2,1,0,3,1,0,1,0,0,0,0,3,0,2
が良いのか,2.63353189306173e-21,0,0,1,1,0,2,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
が悪いと,2.60479012445991e-21,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,1,1,1,1,0,4,1,6,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0
は良い,2.55478508541563e-21,1,0,0,0,0,0,1,0,0,3,7,1,0,0,0,0,1,1,0,0,2,0,4,2,0,0,0,1,1,0,1,0,3,0,2,1,0,0,1,0
がよい,2.36019865432103e-21,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,2,6,0,0,0,3,0,6,1,0,0,0,0,0,0,1,1,3,0,0,0,1,1,0,0
がいい,2.32901474703119e-21,0,0,3,0,3,0,1,9,0,5,1,1,0,0,0,0,1,0,0,0,4,0,10,1,0,0,2,1,0,0,2,0,1,0,2,1,1,1,0,1
もよい,2.26486473135437e-21,1,0,0,0,0,0,1,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0
もいいですね,2.2517484174867e-21,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,2,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
もいい,2.20339720436931e-21,0,0,2,0,1,0,0,0,0,3,3,0,0,1,0,0,1,0,1,0,2,0,0,2,0,0,1,1,0,2,0,0,0,0,2,3,0,0,0,0
も悪くなく,2.18751086603825e-21,1,0,0,1,1,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0
の高い,2.18059723216227e-21,0,0,3,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
がいいので,2.13934537105639e-21,0,0,2,0,0,0,1,1,0,2,1,0,0,0,0,0,1,0,0,0,0,0,6,0,1,0,0,1,0,0,0,0,5,0,1,0,0,0,2,0
は良く,2.13517132136527e-21,0,0,1,0,0,0,1,0,2,2,1,0,0,0,0,1,1,0,0,0,3,2,2,0,0,0,0,3,0,0,1,0,4,0,0,1,2,0,1,1
も良い,2.04799687606051e-21,0,0,1,0,0,0,1,0,0,2,1,0,0,0,0,0,1,0,0,0,1,0,4,2,0,0,0,1,1,0,2,0,1,0,1,1,0,2,0,0
で満足しています,2.03108397285193e-21,2,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,1,0,0,0,0,3
もいいし,2.01099396446459e-21,1,0,0,0,2,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,4,0,1,0,0,0,0,0
