"",weight,色乗り,持ち,バランス,色のり,評判,発色,レスポンス,気持ち,使い勝手,重量バランス,相性,ホールド感,視認性,携帯性,描写,写り,色,ホールド性,操作性,感度,もち,反応,質,音,出来,デザイン,見た目,ヌケ,ボケ味,取り回し,精度,位置,シャッター音,操作感,描写力,配置,画像,感触,天気,画質,条件,性能,カメラ,解像度,切れ,電池持ち,色合い,補正,感じ,AF精度,ボケ,音質,レンズ,コントラスト,バッテリー,質感,大きさ,AF,グリップ感,液晶
weight,"",1.19085015818619e-13,1.1688631391784e-13,1.16453532486996e-13,1.09843791064104e-13,1.09817862341613e-13,1.09652268920247e-13,1.08415159046075e-13,1.03853747963367e-13,1.02508212705653e-13,9.35136968898899e-14,9.29764662621774e-14,9.16050427306252e-14,9.1133280316985e-14,9.01472228550559e-14,8.99890121872854e-14,8.98580722605392e-14,8.90886881528109e-14,8.74611457966377e-14,8.72385452322363e-14,8.55571617790765e-14,8.44967689650829e-14,8.07687841788008e-14,8.02276460231393e-14,7.92201418833866e-14,7.65942827676943e-14,7.63874163687484e-14,7.61775991935157e-14,7.61258343695853e-14,7.4096936174321e-14,7.21462890272044e-14,7.18662749582751e-14,7.05543658422711e-14,7.03169393780512e-14,6.90837974993561e-14,6.77809854556014e-14,6.77352082192297e-14,6.46725509962751e-14,6.46291775027988e-14,6.43552104010103e-14,6.2731730029852e-14,6.13916187121247e-14,6.09462231689528e-14,6.06929459726409e-14,6.04257943480826e-14,6.02410808089161e-14,5.91411382045713e-14,5.75749457567027e-14,5.67464796952072e-14,5.62855953587786e-14,5.61801523723925e-14,5.47560312893372e-14,5.2157729960726e-14,5.20746258635156e-14,5.11444845402285e-14,5.05127984548041e-14,5.03557227815401e-14,5.02403341153841e-14,4.89169841472408e-14,4.88254510455619e-14,4.71616670959915e-14
が良く,8.85863020924055e-15,2,0,10,1,0,3,6,0,10,3,1,5,0,2,1,4,0,4,8,2,0,1,1,0,0,3,1,2,0,0,2,0,0,0,0,1,0,1,0,6,0,0,0,0,3,0,0,0,0,0,0,1,1,0,0,5,0,0,0,0
の良い,8.66783347216625e-15,2,0,20,1,14,1,2,13,12,0,1,3,2,11,2,7,0,0,4,1,0,2,4,0,5,1,0,5,0,0,2,0,0,0,0,0,0,0,15,2,2,5,3,0,4,0,1,0,0,1,0,0,5,1,0,1,0,0,0,1
がよく,8.19647447409208e-15,0,1,5,2,1,1,4,1,5,2,0,1,1,0,0,0,0,1,3,0,0,1,0,0,0,1,0,0,0,1,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,1,0,1,0,1,0,0,0,0
のよい,7.81643836645572e-15,2,0,6,1,3,1,0,3,5,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
もよく,7.07156289995436e-15,3,6,5,6,0,6,0,0,4,0,0,5,0,6,0,1,0,0,5,0,0,1,0,0,0,1,0,1,0,0,0,1,0,2,0,0,1,1,0,11,0,0,0,1,0,1,2,0,0,1,0,0,0,0,0,2,0,0,0,0
が良いです,6.74013288697984e-15,1,7,7,1,0,0,0,2,15,0,2,2,0,5,0,1,0,2,4,0,1,0,1,0,1,2,0,0,1,1,0,0,0,0,0,0,0,2,0,6,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,2,2,0,0,0
も良く,6.64202653844608e-15,5,7,6,0,0,3,6,0,4,0,3,6,2,12,6,6,1,0,12,0,0,0,1,1,0,7,0,1,1,2,1,0,1,0,1,0,0,0,0,14,0,3,0,1,1,0,1,0,0,1,4,0,1,1,0,5,1,0,0,0
が悪い,6.59625438309168e-15,0,36,6,0,0,2,6,0,7,1,0,5,1,3,0,2,2,2,6,2,7,2,2,1,0,0,0,0,0,0,2,5,0,0,0,0,1,0,0,12,2,0,0,1,0,0,0,0,0,2,0,0,1,0,0,1,0,1,1,0
も良いです,6.42147663276535e-15,2,5,4,0,0,4,0,0,1,0,3,4,0,2,3,0,0,0,9,0,1,1,0,0,0,2,0,0,2,1,1,0,0,0,0,1,0,1,0,5,0,0,0,0,0,1,1,1,1,0,1,0,0,0,1,2,0,0,1,0
が悪く,6.36874569776574e-15,0,6,2,0,0,0,1,0,1,0,0,3,2,2,0,0,1,1,0,1,0,1,1,1,0,0,0,0,0,0,0,3,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
がいいです,6.01536071822656e-15,2,6,3,1,0,0,0,9,12,1,0,1,1,1,1,1,1,0,3,0,0,1,0,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,2,0,0,0,0,3,0,1,1,1,1,0
も良好です,5.66985054740922e-15,1,1,0,1,0,0,2,0,1,1,0,2,0,0,1,0,0,0,3,1,0,0,0,0,0,0,1,0,2,0,0,0,1,1,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0
が良いので,5.48817714412475e-15,0,2,2,0,6,1,1,0,3,0,1,3,0,1,2,1,1,1,2,1,0,0,0,0,0,2,0,0,0,1,1,0,0,0,1,0,0,0,0,5,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
が良い,5.39983241890329e-15,1,24,14,0,1,0,8,7,17,0,2,3,2,6,0,4,1,1,4,0,1,0,0,0,1,7,0,0,0,0,2,0,0,1,0,0,1,2,2,24,1,2,0,1,1,0,0,0,4,0,1,1,1,1,1,4,0,1,1,1
が悪いと,5.34691894236637e-15,1,6,4,0,0,0,0,0,1,0,0,0,1,2,0,1,0,0,0,1,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,4,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
がよい,5.27954872469404e-15,0,6,3,0,0,0,0,2,6,0,1,0,0,3,0,0,0,0,2,0,1,0,0,2,0,1,0,0,0,0,1,0,0,1,0,0,0,1,1,1,1,4,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0
は良好です,5.11908439408271e-15,1,0,3,0,0,1,0,0,5,1,0,9,0,3,0,1,1,3,6,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
の悪い,5.02292943307465e-15,0,0,0,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,4,0,0,1,0,0,0,1,0,0,0,0,0,0,1,2,1,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0
がいい,5.01631650104327e-15,0,10,4,0,3,3,1,9,1,0,0,1,0,1,1,5,2,1,1,0,1,0,0,0,0,1,2,0,0,0,0,0,0,2,0,0,0,1,0,9,0,2,0,0,0,0,0,1,1,0,2,0,1,0,0,4,1,0,1,0
は良く,4.6280161132315e-15,0,2,3,0,1,0,1,0,1,0,2,1,2,4,3,2,0,0,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,7,0,0,0,1,0,0,0,2,1,1,0,0,1,0,0,0,0,0,0,0
がいいので,4.61049793278867e-15,0,6,0,0,2,0,1,1,1,0,0,1,0,5,1,2,1,0,2,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,2,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
もいいです,4.56965504659036e-15,0,6,0,0,0,1,1,0,1,1,2,3,0,1,1,0,0,0,3,0,1,0,0,0,0,3,2,0,3,0,1,1,0,1,0,0,1,3,0,9,0,0,0,0,0,0,0,0,2,0,0,1,0,0,1,5,1,0,0,1
の高い,4.56326719918866e-15,0,0,2,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,5,0,0,0,0,0,1,0,0,0,11,0,5,0,0,0,0
は良い,4.51615064808431e-15,0,4,2,1,0,0,1,0,1,0,0,7,0,3,1,3,2,1,2,0,0,0,0,0,0,2,0,1,0,0,0,0,0,1,1,0,0,0,0,7,0,1,0,1,0,1,1,0,0,0,0,0,1,0,1,0,0,0,0,1
もいい,4.25197549767837e-15,0,0,2,0,2,1,0,0,1,0,0,3,0,0,1,3,2,0,5,1,0,0,0,0,0,2,1,0,2,0,0,0,1,0,0,1,0,0,0,4,0,0,0,0,0,0,1,0,0,0,2,0,3,0,0,0,0,3,0,0
が良くて,4.15806509945702e-15,1,2,1,0,0,0,1,0,1,0,0,1,0,1,2,2,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,2,0,2,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0
が悪いです,4.13485812729538e-15,0,10,2,0,0,0,0,0,2,0,0,0,1,1,0,0,0,0,2,1,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,4,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
も良いので,4.02036757985398e-15,0,4,3,0,0,0,0,0,0,0,0,4,0,1,1,0,0,0,1,0,0,0,0,0,0,0,1,0,2,0,2,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0
が良いと,3.95220874179083e-15,0,2,9,0,0,0,0,0,6,2,2,1,0,1,4,2,0,0,2,1,1,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,13,0,1,1,0,0,0,0,1,0,0,0,0,2,0,0,1,0,0,0,0
が良いのか,3.9432950230572e-15,0,0,1,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
が良くない,3.88929920462924e-15,0,5,1,0,0,1,0,1,1,0,0,2,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
はいいと,3.83004767128254e-15,0,0,4,0,0,0,0,0,3,0,2,0,0,0,0,2,0,0,9,0,2,0,0,0,1,6,0,0,0,1,1,1,0,0,0,0,0,0,0,11,0,3,1,0,0,0,0,0,1,0,0,0,3,0,0,2,1,0,0,0
を考えると,3.79660697184719e-15,0,0,8,0,0,0,0,0,4,1,0,0,0,3,1,0,0,0,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,2,0,12,0,0,0,0,0,1,0,0,0,0,0,0,0,0,8,0,0,0
がいいと,3.74043265751833e-15,0,2,4,0,0,0,0,0,3,0,2,1,0,1,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0
が高い,3.72877813319404e-15,0,0,2,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,3,0,0,0,1,0,0,0,0,0,0,0,4,0,0,0,1,0,0,0,0,0,0,2,1,6,0,0,0,0,0,1,0,0,0,5,1,9,0,0,0,0
が感じます,3.7270790912127e-15,0,2,3,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,1,0,1,0,0,0,1
