"",weight,持ち,色乗り,バランス,レスポンス,評判,気持ち,発色,色のり,視認性,使い勝手,感度,相性,ホールド感,重量バランス,携帯性,操作性,ホールド性,描写,写り,もち,音,反応,質,色,出来,位置,ボケ味,ヌケ,取り回し,見た目,操作感,画像,解像度,配置,天気,感触,描写力,デザイン,精度,条件,カメラ,画質,シャッター音,AF精度,補正,切れ,バッテリー,感じ,電池持ち,レンズ
weight,"",1.11227927934849e-08,1.02458232219706e-08,9.66666412345008e-09,9.53973331773285e-09,9.53058910969362e-09,9.443411442146e-09,9.17686776821152e-09,9.05282461156968e-09,8.57059865010614e-09,8.2876252713904e-09,8.15003703031548e-09,8.11837871752728e-09,8.10314301686111e-09,7.97111868572533e-09,7.89006478247433e-09,7.84128097628546e-09,7.77198830211078e-09,7.68593782510527e-09,7.63171102692301e-09,7.32555451014238e-09,7.31125851002632e-09,7.30377944948887e-09,7.16343774153078e-09,7.0651062144651e-09,7.03289313145077e-09,6.82399594742586e-09,6.80897776881109e-09,6.78351103758774e-09,6.71122625781796e-09,6.46336939181005e-09,5.98324806048451e-09,5.94125262937351e-09,5.82752035125926e-09,5.82205901133832e-09,5.78228371228826e-09,5.77295965358595e-09,5.76784797284148e-09,5.7575066007965e-09,5.74542374145823e-09,5.73723173792128e-09,5.36008985290896e-09,5.35049605284889e-09,5.32622777989336e-09,5.21083425995726e-09,5.20799146798805e-09,5.17677014572526e-09,5.16306844626726e-09,5.03613628320349e-09,4.95551280341049e-09,4.88709945854051e-09
の良い,8.75757846785517e-10,0,2,20,2,14,13,1,1,2,12,1,1,3,0,11,4,0,2,7,0,0,2,4,0,5,0,0,5,0,0,0,0,0,0,15,0,0,1,2,2,3,2,0,1,0,4,0,0,0,5
が良く,8.35118090352192e-10,0,2,10,6,0,0,3,1,0,10,2,1,5,3,2,8,4,1,4,0,0,1,1,0,0,0,0,2,0,1,0,0,0,1,0,1,0,3,2,0,0,6,0,0,0,3,0,0,0,1
がよく,7.85227545014942e-10,1,0,5,4,1,1,1,2,1,5,0,0,1,2,0,3,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,1,1,0,1,0,0,0,1,0
のよい,7.73872434171403e-10,0,2,6,0,3,3,1,1,0,5,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0
もよく,6.62598202377553e-10,6,3,5,0,0,0,6,6,0,4,0,0,5,0,6,5,0,0,1,0,0,1,0,0,0,1,0,1,0,0,2,1,1,0,0,1,0,1,0,0,0,11,0,1,0,0,0,0,1,0
が良いです,6.57785629626714e-10,7,1,7,0,0,2,0,1,0,15,0,2,2,0,5,4,2,0,1,1,0,0,1,0,1,0,1,0,1,0,0,0,0,0,0,2,0,2,0,0,0,6,0,0,0,0,0,1,1,0
も良く,6.56893244524363e-10,7,5,6,6,0,0,3,0,2,4,0,3,6,0,12,12,0,6,6,0,1,0,1,1,0,0,1,1,2,0,0,0,1,0,0,0,1,7,1,0,0,14,1,1,0,1,0,0,0,1
が悪く,6.30753749448773e-10,6,0,2,1,0,0,0,0,2,1,1,0,3,0,2,0,1,0,0,0,1,1,1,1,0,3,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
が悪い,6.19558825224437e-10,36,0,6,6,0,0,2,0,1,7,2,0,5,1,3,6,2,0,2,7,1,2,2,2,0,5,0,0,0,0,0,1,1,0,0,0,0,0,2,2,0,12,0,2,0,0,0,0,0,1
も良いです,5.94575142231761e-10,5,2,4,0,0,0,4,0,0,1,0,3,4,0,2,9,0,3,0,1,0,1,0,0,0,0,2,0,1,0,0,0,0,1,0,1,0,2,1,0,0,5,0,0,1,0,1,1,1,0
がいいです,5.70826016013893e-10,6,2,3,0,0,9,0,1,1,12,0,0,1,1,1,3,0,1,1,0,2,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,1,0,0,0,0,2,0,0
も良好です,5.55006212627171e-10,1,1,0,2,0,0,0,1,0,1,1,0,2,1,0,3,0,1,0,0,0,0,0,0,0,0,2,0,0,1,1,0,0,0,0,0,1,0,0,0,0,2,1,0,0,0,0,0,0,0
が悪いと,5.33800414550335e-10,6,1,4,0,0,0,0,0,1,1,1,0,0,0,2,0,0,0,1,0,1,0,1,0,0,0,0,1,0,0,0,1,2,0,0,0,0,0,0,2,0,4,0,0,0,0,0,0,0,0
が良い,5.28936538177064e-10,24,1,14,8,1,7,0,0,2,17,0,2,3,0,6,4,1,0,4,1,0,0,0,1,1,0,0,0,0,0,1,1,1,0,2,2,0,7,2,1,0,24,0,0,0,1,1,4,0,1
がよい,5.21899168051779e-10,6,0,3,0,0,2,0,0,0,6,0,1,0,0,3,2,0,0,0,1,2,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,1,1,1,0,1,0,0,1,0,0,0,0,0
の悪い,5.14995965319101e-10,0,0,0,0,3,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,4,1,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,2,0,0,0,0,0,0,0,2
が良いので,5.08949838047239e-10,2,0,2,1,6,0,1,0,0,3,1,1,3,0,1,2,1,2,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,2,1,0,1,5,0,0,0,0,0,0,1,0
は良好です,4.88252954471102e-10,0,1,3,0,0,0,1,0,0,5,0,0,9,1,3,6,3,0,1,0,0,0,0,1,0,0,0,0,0,0,2,0,0,0,0,0,0,1,0,0,0,2,0,0,0,0,0,0,0,0
がいい,4.71287017548957e-10,10,0,4,1,3,9,3,0,0,1,0,0,1,0,1,1,1,1,5,1,0,0,0,2,0,0,0,0,0,2,2,0,0,0,0,1,0,1,0,0,0,9,0,0,1,0,0,1,0,1
の高い,4.62380101088825e-10,0,0,2,0,3,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0
がいいので,4.48350967631493e-10,6,0,0,1,2,1,0,0,0,1,0,0,1,0,5,2,0,1,2,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,1,0,0,0,0,0,0,0,0
もいいです,4.44458457290048e-10,6,0,0,1,0,0,1,0,0,1,0,2,3,1,1,3,0,1,0,1,0,0,0,0,0,1,3,0,0,2,1,1,0,0,0,3,0,3,1,0,0,9,0,0,0,0,1,2,0,0
は良い,4.23704134861885e-10,4,0,2,1,0,0,0,1,0,1,0,0,7,0,3,2,1,1,3,0,0,0,0,2,0,0,0,1,0,0,1,0,1,0,0,0,1,2,0,0,0,7,0,0,0,0,1,0,1,1
は良く,4.21112468500946e-10,2,0,3,1,1,0,0,0,2,1,0,2,1,0,4,2,0,3,2,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,7,0,1,2,0,0,1,0,1
が悪いです,4.19291354432233e-10,10,0,2,0,0,0,0,0,1,2,1,0,0,0,1,2,0,0,0,2,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,4,0,0,0,0,0,0,0,0
が良くて,4.02993074220747e-10,2,1,1,1,0,0,0,0,0,1,0,0,1,0,1,0,0,2,2,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,2,0,0,0,0,0,0,0,1
