"",weight,が良く,の良い,がよく,が悪い,も良く,が良いです,もよく,のよい,も良いです,が良い,が悪く,がいいです,がよい,がいい,が良いので,も良好です,もいいです,が悪いと,は良好です,は良く,は良いです,がいいので,は良い,が良いと,もいい,も良いので,も良い,が良くて,のある,は良いと,が悪いです,はいいと,はいいですね,はありません,の悪い,も良いと,も高く,が高い,が感じます,の高い,はいいです,が良くない,がいいと,があります,が高いので,は感じです,も悪くなく,が悪いので,があり,は悪いです,が高く,も満足しています,といい,にありません,も気に入っています,もいいですね,が違います,が良いのか,もありません,は良いのですが,がよいです,もよい,もある,が高いです,にある,も良好,もあり,がイマイチ,は最高です,もいいし,も良いですね,がいいですね,もあります,はよく,は思います,はいい,も良いし,も高い,は落ちますが,もなく,がよいと,がなります,は高い,もあって,は抜群です,はよいです,に満足しています,を考えると,は満足しています,を考えて
weight,"",4.39596107199085e-16,4.18334983935972e-16,3.83874548468909e-16,3.53597699712206e-16,3.51566141741498e-16,3.44846068755415e-16,3.41864934718858e-16,3.37429303761111e-16,3.27990860171826e-16,3.10120292575394e-16,3.00401710113784e-16,2.88034273436022e-16,2.81844540936787e-16,2.73331258961884e-16,2.68974973455059e-16,2.60493226773035e-16,2.54663302106591e-16,2.49330666138643e-16,2.43265938534978e-16,2.40793910685598e-16,2.30809079123939e-16,2.28963233265029e-16,2.27042594960493e-16,2.25679967041462e-16,2.20221457678754e-16,2.19711934548993e-16,2.16496576291395e-16,2.12859734022241e-16,2.12466697746019e-16,2.08795486674284e-16,2.07910674336001e-16,2.07583553612884e-16,2.00072542334144e-16,1.97495283496556e-16,1.96217312441499e-16,1.90987141023711e-16,1.90959340544788e-16,1.90323173815556e-16,1.89796242283051e-16,1.87384846744402e-16,1.85326877361648e-16,1.83332494489057e-16,1.80657674038114e-16,1.79405079513634e-16,1.78967040360792e-16,1.77340384497599e-16,1.76996130953267e-16,1.76739071300653e-16,1.76525736679977e-16,1.74826802345879e-16,1.73656200661443e-16,1.73526718654278e-16,1.72202435967642e-16,1.67450977067186e-16,1.65642453086961e-16,1.64727438956309e-16,1.64201368926434e-16,1.64026250259216e-16,1.62371581751539e-16,1.61607330792963e-16,1.57471449477481e-16,1.56578883787343e-16,1.56521094373857e-16,1.54989629191356e-16,1.54473912323148e-16,1.52919043194042e-16,1.52713591605039e-16,1.52504602394116e-16,1.52390058121249e-16,1.5229320689335e-16,1.51043257189588e-16,1.50248935382349e-16,1.48085101589775e-16,1.47128845405742e-16,1.46525094910881e-16,1.46066903637905e-16,1.44910863919624e-16,1.42856685987092e-16,1.42235407750472e-16,1.41953934286819e-16,1.40901642821355e-16,1.4036587732683e-16,1.395688889392e-16,1.39553540692163e-16,1.38734287822191e-16,1.38441660299631e-16,1.3775929084111e-16,1.37610440680803e-16,1.37475850209162e-16,1.37377878111271e-16
バランス,1.84452874867228e-17,10,20,5,6,6,7,5,6,4,14,2,3,3,4,2,0,0,4,3,3,5,0,2,9,2,3,1,1,0,8,2,4,2,0,0,11,0,2,3,2,0,1,4,0,0,0,1,1,0,1,0,1,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,1,0,0,0,0,1,1,0,8,0,2
持ち,1.59887766488308e-17,0,0,1,30,0,4,0,0,0,22,6,1,6,9,2,0,0,5,0,2,5,6,3,2,0,0,0,1,0,6,9,0,2,7,0,0,0,0,1,0,1,5,1,0,0,2,0,4,0,5,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,1,2,0,0,0,0
使い勝手,1.48954549789936e-17,10,12,5,7,4,15,4,5,1,17,1,12,6,1,3,1,1,1,5,1,10,1,1,6,1,0,1,1,0,5,2,3,0,4,0,1,0,0,1,0,3,1,3,1,0,0,1,0,0,0,0,0,0,1,1,1,0,0,1,0,5,0,0,0,0,1,0,0,2,1,1,4,0,0,1,0,0,0,0,1,1,0,0,0,0,0,1,4,1,1
色乗り,1.47133113331328e-17,2,2,0,0,5,1,3,2,2,1,0,2,0,0,0,1,0,1,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
レスポンス,1.43245476425555e-17,6,2,4,6,6,0,0,0,0,8,1,0,0,1,1,2,1,0,0,1,1,1,1,0,0,0,1,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
発色,1.34755861668507e-17,3,1,1,2,3,0,6,1,4,0,0,0,0,3,1,0,1,0,1,0,2,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,1,0,0,0,1,1,0,1,1,0,4,2,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,2,2,0,0,1,0,2,0,0,1,0,2,0,0,0,1,0,0,0,0,0,0
ホールド感,1.31652776434216e-17,5,3,1,5,6,2,5,0,4,3,3,1,0,1,3,2,3,0,9,1,14,1,7,1,3,4,1,1,0,4,0,0,0,9,0,0,0,1,1,0,2,2,1,1,0,3,1,0,2,1,1,2,2,2,0,0,0,0,5,3,1,0,1,0,0,0,1,1,0,0,0,0,0,0,4,2,0,0,0,0,3,0,0,3,4,2,0,0,0,0
色のり,1.30553066636039e-17,1,1,2,0,0,1,6,1,0,0,0,1,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,2,0,0,0,1,0,1,1,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
相性,1.2809792488134e-17,1,1,0,0,3,2,0,0,3,2,0,0,1,0,1,0,2,0,0,2,0,0,0,2,0,0,0,0,0,1,0,2,0,1,0,0,0,0,0,0,1,0,2,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,1,1,0,0,0,0
評判,1.27883203349045e-17,0,14,1,0,0,0,0,3,0,1,0,0,0,3,6,0,0,0,0,1,0,2,0,0,2,0,1,0,0,0,0,0,0,0,3,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
操作性,1.25946638387733e-17,8,4,3,6,12,4,5,0,9,4,0,3,2,1,2,3,3,0,6,2,6,2,2,2,5,1,8,0,0,10,2,9,1,11,1,6,0,3,0,0,4,1,0,0,0,3,1,0,1,3,1,2,1,3,0,0,0,0,1,4,1,0,0,0,1,2,0,1,1,0,0,1,0,1,11,2,1,0,0,2,1,0,0,0,6,4,1,3,1,2
気持ち,1.2461418108539e-17,0,13,1,0,0,2,0,3,0,7,0,9,2,9,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
写り,1.23486103371069e-17,4,7,0,2,4,1,1,1,0,4,0,1,0,5,1,0,0,1,1,2,4,2,3,2,3,0,2,2,0,5,0,2,4,6,0,2,1,0,0,0,7,0,1,0,0,1,1,0,0,0,0,1,0,2,0,0,4,0,8,1,0,1,0,0,2,0,0,0,4,0,0,0,1,0,4,1,1,0,0,0,2,0,0,0,0,0,2,0,3,0
もち,1.197781449151e-17,0,0,0,7,0,1,0,0,1,1,0,0,1,1,0,0,1,0,0,0,1,1,0,1,0,0,0,1,0,1,2,2,2,0,0,0,0,0,1,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0
デザイン,1.18607973408321e-17,3,1,1,0,7,2,1,0,2,7,0,0,1,1,2,0,3,0,1,0,2,0,2,1,2,0,2,0,1,11,0,6,0,0,0,4,0,0,0,0,3,0,1,0,0,5,1,0,0,0,0,1,1,0,3,0,0,0,1,2,0,0,0,0,0,0,0,0,2,3,0,4,0,1,11,0,2,0,0,0,0,0,0,1,0,1,0,0,2,0
