"",weight,が良く,の良い,がよく,も良く,が悪い,もよく,が良いです,も良いです,のよい,が良い,が悪く,がいいです,がよい,の高い,がいい,が良いので,が高い,もいいです,も良好です,は良いです,が悪いと,は良好です,は良く,も高く,が良いと,も良い,が高く,がいいので,もいい,は良い,は良いと,が高いです,のある,が高いので,も良いので,が良くて,が悪いです,はいいと,はいいですね,も良いと,はありません,の悪い,があり,が感じます,はいいです,は感じです,は高い,がいいと,が良くない,といい,があります,も悪くなく,も満足しています,は最高です,は良いのですが,が悪いので,もありません,は悪いです,が違います,にありません,も気に入っています,も高い,を考えると,もいいですね,が高いと,は高く,もあり,が良いのか,がよいです,にある,が低い,がいいですね,もある,も良好,がイマイチ,もいいし,は落ちますが,も良いですね,もよい,は思います,も良いし,がよいと,は高いと,がある,もあります,は抜群です,はいい,もなく,はよく,はよいです,はあり,も含めて,に満足しています,はよいと,もあって,を考えて,は満足しています,になります,にあり,がなります
weight,"",5.2998956774272e-19,5.01607408070158e-19,4.51138766128263e-19,4.35717877990771e-19,4.27721053314432e-19,4.20593385530402e-19,4.15457317530602e-19,3.9905105907574e-19,3.95501420987678e-19,3.90690214840225e-19,3.55868181817604e-19,3.47771705586849e-19,3.41409426252494e-19,3.37477291397101e-19,3.30898148019829e-19,3.28569873499474e-19,3.20010846125337e-19,3.12843084414267e-19,3.1257935611608e-19,3.05825131273013e-19,2.99482537282639e-19,2.97303025565214e-19,2.94716943204932e-19,2.83861799675537e-19,2.79578873584782e-19,2.77084344231167e-19,2.76981187703733e-19,2.75940882004544e-19,2.7306932184144e-19,2.72293391065784e-19,2.7038386439159e-19,2.69058429893308e-19,2.68548745319735e-19,2.68024818744202e-19,2.67147019815192e-19,2.56925675994319e-19,2.51501109989241e-19,2.46104174693519e-19,2.45866135851719e-19,2.45200296917451e-19,2.39532537802494e-19,2.36738098443583e-19,2.33723267421502e-19,2.33212210774696e-19,2.29510970795131e-19,2.2289287362501e-19,2.19484541966504e-19,2.18916343839273e-19,2.17859995717151e-19,2.16378613954422e-19,2.15354002475712e-19,2.15144971717646e-19,2.14106963653268e-19,2.13029124205954e-19,2.11850728432912e-19,2.11701481564914e-19,2.09317629041068e-19,2.08912588063678e-19,2.07080050267714e-19,2.06405503471417e-19,2.03366803961356e-19,2.02302479194191e-19,1.98403956460444e-19,1.98277182985783e-19,1.97201085994567e-19,1.9456941129624e-19,1.93298778105413e-19,1.92039708445812e-19,1.91454081619296e-19,1.91129249079061e-19,1.88198302678976e-19,1.87312180709761e-19,1.86940986702682e-19,1.8408870642695e-19,1.82452189849823e-19,1.82245391133531e-19,1.80601057100333e-19,1.80595871394506e-19,1.80079420735192e-19,1.79043934620966e-19,1.77027481508296e-19,1.76941933080632e-19,1.76628455433033e-19,1.75709267273845e-19,1.74459759791543e-19,1.74358653092244e-19,1.74357393998141e-19,1.74032151260796e-19,1.73789138998083e-19,1.73746649205398e-19,1.72377482439966e-19,1.72293128525604e-19,1.72095345750677e-19,1.71939278044472e-19,1.71353145264271e-19,1.70527520660563e-19,1.70239255700172e-19,1.68528912157514e-19,1.68133518406698e-19,1.67843547290678e-19
バランス,2.31615795490022e-20,10,20,5,6,6,5,7,4,6,14,2,3,3,2,4,2,2,0,0,5,4,3,3,0,9,1,0,0,2,2,8,1,0,0,3,1,2,4,2,11,0,0,0,3,0,0,0,4,1,0,0,1,1,0,0,1,0,1,0,0,0,0,8,0,0,0,0,1,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,1,1,1,0,1,0,1,0,1,0,2,0,1,0,0
使い勝手,2.00656626265253e-20,10,12,5,4,7,4,15,1,5,17,1,12,6,0,1,3,0,1,1,10,1,5,1,0,6,1,0,1,1,1,5,0,0,0,0,1,2,3,0,1,4,0,0,1,3,0,0,3,1,0,1,1,0,2,0,0,1,0,0,1,1,0,4,1,0,0,0,0,5,0,0,4,0,1,0,1,0,1,0,1,0,1,0,0,0,0,0,1,0,0,0,1,1,1,0,1,1,0,0,0
持ち,1.96450676354669e-20,0,0,1,0,30,0,4,0,0,22,6,1,6,0,9,2,0,0,0,5,5,0,2,0,2,0,0,6,0,3,6,0,0,0,0,1,9,0,2,0,7,0,0,1,1,2,0,1,5,0,0,0,0,1,1,4,0,5,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,1,1,0,0,2,0,0,0,1,0,0,0,0,0,0
ホールド感,1.80462320202132e-20,5,3,1,6,5,5,2,4,0,3,3,1,0,0,1,3,1,3,2,14,0,9,1,0,1,1,1,1,3,7,4,0,0,0,4,1,0,0,0,0,9,0,2,1,2,3,0,1,2,2,1,1,2,0,3,0,5,1,0,2,0,0,0,0,0,0,1,0,1,0,0,0,1,0,1,0,0,0,0,4,0,3,0,0,0,4,2,0,0,2,2,0,0,1,3,0,0,0,0,0
色乗り,1.75950894953639e-20,2,2,0,5,0,3,1,2,2,1,0,2,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
レスポンス,1.73690628495997e-20,6,2,4,6,6,0,0,0,0,8,1,0,0,0,1,1,0,1,2,1,0,0,1,0,0,1,0,1,0,1,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0
操作性,1.73633515824014e-20,8,4,3,12,6,5,4,9,0,4,0,3,2,0,1,2,3,3,3,6,0,6,2,0,2,8,1,2,5,2,10,0,0,0,1,0,2,9,1,6,11,1,1,0,4,3,0,0,1,1,0,1,2,1,4,0,1,3,0,3,0,0,3,0,0,0,0,0,1,1,0,1,0,2,1,0,0,0,0,11,1,1,0,0,0,6,2,2,1,4,1,1,1,0,0,2,1,0,2,0
携帯性,1.62663388559205e-20,2,11,0,12,3,6,5,2,0,6,2,1,3,0,1,1,1,1,0,3,2,3,4,1,1,1,0,5,0,3,12,0,0,1,1,1,1,0,0,2,11,0,0,0,10,2,0,1,0,1,0,1,0,1,5,2,1,5,0,1,0,0,3,1,1,0,0,0,0,0,0,0,0,0,0,4,3,0,0,12,1,1,0,0,0,17,0,1,0,3,0,0,0,2,0,2,2,0,1,0
発色,1.61561721746203e-20,3,1,1,3,2,6,0,4,1,0,0,0,0,0,3,1,0,1,0,2,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,1,1,0,0,1,2,0,1,4,2,0,0,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,2,0,0,0,0,1,0,0,2,0,0,1,1,0,0,1,0,0,3,0,0
写り,1.59244310867071e-20,4,7,0,4,2,1,1,0,1,4,0,1,0,0,5,1,0,0,0,4,1,1,2,1,2,2,0,2,3,3,5,0,0,0,0,2,0,2,4,2,6,0,0,0,7,1,0,1,0,0,0,1,1,4,1,0,8,0,4,2,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,1,4,1,2,0,0,1,0,1,0,0,0,2,0,2,2,0,0,3,3,4,0
