"",weight,が良く,の良い,がよく,も良く,が悪い,が良いです,もよく,も良いです,のよい,が良い,が悪く,がいいです,がよい,が良いので,がいい,もいいです,も良好です,は良いです,は良く,は良好です,が悪いと,が良いと,がいいので,は良い,も良い,もいい,も良いので,は良いと,が高い,が良くて,の高い,が悪いです,のある,はいいと,も高く,はいいですね,も良いと,はありません,はいいです,が高く,が感じます,の悪い,がいいと,が良くない,が高いので,は感じです,が高いです,といい,も悪くなく,は悪いです,も満足しています,が悪いので,にありません,があり,は良いのですが,があります,も気に入っています,もありません,は最高です,もいいですね,が違います,が良いのか,がよいです,はいい,がいいですね,がイマイチ,にある,もいいし,もある,は高い,もあり,は思います,も良好,もよい,も良いですね,がよいと,はよいです,も高い,も良いし,はよく,は抜群です,は落ちますが,を考えると,はあり,はよいと,も含めて,もなく,がなります,がある,もあります,を考えて,もいいと,は満足しています,は悪くないです,が低い,もあって,は方だと,も良くて,にあり,で満足しています
weight,"",3.61918504452619e-24,3.38769128482581e-24,3.12153171488019e-24,2.99679244087377e-24,2.88963147301032e-24,2.8618401460895e-24,2.81896958789418e-24,2.78178366407394e-24,2.68023857571778e-24,2.63539056159513e-24,2.40910362698541e-24,2.36237089175043e-24,2.34186191338593e-24,2.23332018404777e-24,2.2253912936957e-24,2.15502745483135e-24,2.12658613088542e-24,2.0805135714447e-24,2.05486303269467e-24,2.03074776210059e-24,2.0086719986544e-24,1.90918034026223e-24,1.87502840183737e-24,1.87231735028681e-24,1.851664925762e-24,1.80764669900351e-24,1.79753303289254e-24,1.79353075875147e-24,1.75829414983085e-24,1.75673894819984e-24,1.73454063098379e-24,1.71179322776672e-24,1.70947184185838e-24,1.68940827051458e-24,1.67917920032519e-24,1.6765136928545e-24,1.64656715372194e-24,1.60453031536331e-24,1.60095602284342e-24,1.57288690444805e-24,1.5684866174893e-24,1.5131737259752e-24,1.50974597411454e-24,1.49106424015089e-24,1.4904282442354e-24,1.46385098819552e-24,1.46027370954054e-24,1.46027200384182e-24,1.45591271024944e-24,1.44183815726746e-24,1.43776761505497e-24,1.43005511958692e-24,1.39370022518052e-24,1.38718017636316e-24,1.37672108676935e-24,1.37601103167582e-24,1.36072958150813e-24,1.34803846218932e-24,1.34772265922635e-24,1.34192345446965e-24,1.32148383750902e-24,1.28765288968193e-24,1.28267604475484e-24,1.27850035604921e-24,1.26900400722508e-24,1.25701834576396e-24,1.25687647162023e-24,1.25616423149844e-24,1.2476093882198e-24,1.24434317090799e-24,1.23911913280877e-24,1.23484569743061e-24,1.2295994214449e-24,1.21799968863872e-24,1.20974120014756e-24,1.20167122386848e-24,1.19960484382011e-24,1.1983998950564e-24,1.18878625410684e-24,1.18503993637674e-24,1.18441398220207e-24,1.16916738454091e-24,1.15857743645689e-24,1.15715667683285e-24,1.15518172850282e-24,1.14141086884261e-24,1.13781193727034e-24,1.13642127853449e-24,1.1304498100155e-24,1.12629475680529e-24,1.12519307153799e-24,1.12219816962925e-24,1.12004175738304e-24,1.11932484624272e-24,1.1164883407588e-24,1.111362269937e-24,1.10710835312269e-24,1.10618932752793e-24,1.09957753761047e-24,1.09767289595167e-24
バランス,1.80027036664905e-25,10,20,5,6,6,7,5,4,6,14,2,3,3,2,4,0,0,5,3,3,4,9,0,2,1,2,3,8,2,1,2,2,0,4,0,2,11,0,0,0,3,0,4,1,0,0,1,0,1,1,1,1,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,1,0,8,0,1,1,1,0,0,0,2,0,0,0,0,0,0,0,0,0
使い勝手,1.53531887252463e-25,10,12,5,4,7,15,4,1,5,17,1,12,6,3,1,1,1,10,1,5,1,6,1,1,1,1,0,5,0,1,0,2,0,3,0,0,1,4,3,0,1,0,3,1,0,0,0,0,1,0,0,0,1,0,0,1,1,1,2,1,0,0,5,0,4,0,0,1,0,0,0,1,1,0,1,1,0,0,0,0,0,0,4,0,1,1,1,0,0,0,1,0,1,3,0,0,0,0,0,0
持ち,1.52000984401515e-25,0,0,1,0,30,4,0,0,0,22,6,1,6,2,9,0,0,5,2,0,5,2,6,3,0,0,0,6,0,1,0,9,0,0,0,2,0,7,1,0,1,0,1,5,0,2,0,0,0,5,0,4,0,0,1,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,1,1,0,0,1,0,0,0,1,1,0,0,0,0,0,0,2,0,0,0
色乗り,1.39632447830123e-25,2,2,0,5,0,1,3,2,2,1,0,2,0,0,0,0,1,1,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
レスポンス,1.38060810756363e-25,6,2,4,6,6,0,0,0,0,8,1,0,0,1,1,1,2,1,1,0,0,0,1,1,1,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1
ホールド感,1.36094647343445e-25,5,3,1,6,5,2,5,4,0,3,3,1,0,3,1,3,2,14,1,9,0,1,1,7,1,3,4,4,1,1,0,0,0,0,0,0,0,9,2,1,1,0,1,2,0,3,0,2,1,1,2,0,2,2,3,1,0,5,0,0,0,0,1,2,0,1,0,0,1,0,1,4,0,0,0,3,2,0,0,0,4,0,0,2,1,0,0,0,0,0,0,2,0,1,0,3,1,0,0,0
発色,1.30499323446765e-25,3,1,1,3,2,0,6,4,1,0,0,0,0,1,3,1,0,2,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,1,0,1,0,2,1,1,4,0,0,1,0,0,1,1,2,0,0,0,0,0,0,0,0,2,0,0,0,2,0,0,0,0,0,1,0,0,0,0,0,1,0,1,2,0,0,1,0,1,0,0,0,1,1,0,0,0
写り,1.27829347206627e-25,4,7,0,4,2,1,1,0,1,4,0,1,0,1,5,0,0,4,2,1,1,2,2,3,2,3,0,5,0,2,0,0,0,2,1,4,2,6,7,0,0,0,1,0,0,1,0,0,1,0,1,0,2,0,1,0,0,8,4,0,4,0,0,1,0,0,2,0,0,0,0,4,0,1,0,2,0,0,1,0,0,0,0,2,2,0,0,0,0,1,0,1,3,1,0,0,1,2,4,0
操作性,1.27003615270687e-25,8,4,3,12,6,4,5,9,0,4,0,3,2,2,1,3,3,6,2,6,0,2,2,2,8,5,1,10,3,0,0,2,0,9,0,1,6,11,4,1,0,1,0,1,0,3,0,1,1,3,2,0,3,1,4,0,0,1,1,0,0,0,1,2,1,1,1,0,0,0,0,11,2,0,0,1,4,0,1,1,6,0,3,1,0,1,2,0,0,0,2,1,1,0,0,0,0,0,2,1
