"",weight,が悪い,が良い,が良く,が悪く,の良い,にあります,もよく,も良く,のよい,も良いです,が良いです,もいいです,がよい,はありません,が高い,がいいです,がよく,の高い,も満足しています,がいい,は高いです,はいいです,にある,がある,は良いです,にあるので,になり,があります,の悪い,がなります,になります,も悪くなく,があり,もなく,が高いので,は良いと,が良いと,も良い,にあり,がいいので,は高い,を上げて,が高く,は感じです,は抜群で,もありません,がなる,が悪いのか,にありません,になる,を上げると,が違います,を上げる,が悪いと,は思います,を上げた,はなく,はいいと,のある,は感じます,もいいですね,は良い,が好きです,が良くなく,が遅い,を上げても,が高いと,にない,をした,を考えると,に優れた,を考えれば,がありますが,は良いですが,はないので,にあると,が鈍い,といい,があれば,がよいです
weight,"",0.0295966108766825,0.00972195002025046,0.00962640374992624,0.00815357831733413,0.00785013079380984,0.00603490647108526,0.00596298666549693,0.00579258043293912,0.00577709068392805,0.00575784724223901,0.00566824379401337,0.00554297809272928,0.00536941464599929,0.00531412070158795,0.00529311086864889,0.00519026058308862,0.00510527067704517,0.00509742613176181,0.00495431199247383,0.0048581185842087,0.00474269163629708,0.00471944237270278,0.00471656406993097,0.00463408540541989,0.00456089303780061,0.00445499778380553,0.00438354147520092,0.00437795684400199,0.00436072067866535,0.00429215807403277,0.00422008823687514,0.00417805091895948,0.00417559034274407,0.00403420373354362,0.00401470190903355,0.0039457719153544,0.00393329975282361,0.00392207491307317,0.00388690375488141,0.00379899391381825,0.00377225264671908,0.00375373200915837,0.00373962190200837,0.00371477761233985,0.00362655673673977,0.00358934582671183,0.00356402520004453,0.00356399033290887,0.00355631164186923,0.00352663904014372,0.00350420268595197,0.00349618522352273,0.00348237492763788,0.00346378320266807,0.00346169245308651,0.00344594161399062,0.00339429578570062,0.00338267604194124,0.00332103916087899,0.00329719762241825,0.00328363795449583,0.00326997516161166,0.00323233342076577,0.00320261614655784,0.00319554856446421,0.00319085453031774,0.0031581485286562,0.00315648303730923,0.00314999538934278,0.00314225213702648,0.00313780078245209,0.00312831638417368,0.00309542860466473,0.00308890733711569,0.00308585567393579,0.00302547659923051,0.00301519631100646,0.00301102992829443,0.003006987596097,0.00300599497887543
持ち,0.000529134699379594,30,22,0,6,0,0,0,0,0,0,4,0,6,7,0,1,1,0,0,9,0,1,0,1,5,0,0,0,0,0,0,0,0,0,0,6,2,0,0,6,0,0,0,2,0,0,0,0,0,0,0,0,0,5,0,0,1,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
バランス,0.000482665805033887,6,14,10,2,20,0,5,6,6,4,7,0,3,0,2,3,5,2,1,4,0,0,0,0,5,0,0,0,0,0,1,1,0,1,0,8,9,1,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,4,0,0,0,4,0,0,0,2,1,0,0,0,0,0,0,8,0,5,0,0,0,0,0,0,0,0
レスポンス,0.000462944275821321,6,8,6,1,2,0,0,6,0,0,0,1,0,1,0,0,4,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
使い勝手,0.0004623643325637,7,17,10,1,12,0,4,4,5,1,15,1,6,4,0,12,5,0,0,1,0,3,0,0,10,0,0,1,0,0,0,1,0,1,0,5,6,1,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,1,1,0,0,3,0,0,1,1,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,5
位置,0.00045802964223714,5,0,0,3,0,4,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,8,0,0,6,0,1,1,2,0,0,0,0,0,0,0,0,2,1,0,0,0,1,0,0,0,2,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,2,1,0,0,0,0,0,0,2,0,0,1,0
もち,0.000395389364151634,7,1,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
ホールド感,0.000390628123611618,5,3,5,3,3,0,5,6,0,4,2,3,0,9,1,1,1,0,2,1,1,2,0,0,14,0,0,1,0,0,0,1,2,0,0,4,1,1,0,1,0,0,1,3,0,5,0,0,2,0,0,0,0,0,4,0,0,0,0,1,0,7,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,2,0,1
質,0.000362604406940699,2,0,1,1,4,0,0,1,1,0,1,0,0,0,1,0,0,2,1,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
反応,0.000354842577861301,2,0,1,1,2,0,1,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0
操作性,0.000351311297663207,6,4,8,0,4,1,5,12,0,9,4,3,2,11,3,3,3,0,2,1,1,4,1,0,6,0,1,0,1,0,0,1,1,2,0,10,2,8,2,2,0,0,1,3,4,1,0,0,3,0,0,0,0,0,11,0,1,9,0,2,0,2,1,0,0,0,0,1,0,3,2,1,0,2,2,0,0,1,1,1
発色,0.000337285276855645,2,0,3,0,1,1,6,3,1,4,0,1,0,1,0,0,1,0,4,3,0,1,0,0,2,0,0,0,0,0,3,1,1,2,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,1,0,0,0,0,2,0,0,0,0,1,0,0,6,0,0,0,0,0,0,0,0,0,2,0,0,0,0,2,0,0
ホールド性,0.000332295489634603,2,1,4,1,0,0,0,0,0,0,2,0,0,1,1,0,1,0,0,1,0,0,0,0,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
精度,0.000325931023448037,2,2,2,0,2,0,0,1,0,1,0,1,1,1,4,0,0,1,0,0,1,0,1,0,1,2,0,1,0,0,0,0,0,1,3,2,0,0,0,0,2,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
携帯性,0.000324415957328272,3,6,2,2,11,0,6,12,0,2,5,1,3,11,1,1,0,0,0,1,0,10,0,0,3,0,0,0,0,0,0,1,0,1,1,12,1,1,1,5,0,0,0,2,1,1,0,0,1,0,0,0,0,2,12,0,0,0,0,1,1,3,0,0,0,0,1,0,2,3,5,3,0,0,1,1,0,1,0,0
感度,0.000319533568698347,2,0,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,1,13,0,0,0,0,0,0,0,0,11,0,6,1,1,7,1,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,1
AF精度,0.000307368184020892,2,0,0,0,1,1,1,1,0,0,0,0,0,1,1,0,0,1,1,0,1,1,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,1,0,0,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
写り,0.000301484893044703,2,4,4,0,7,0,1,4,1,0,1,0,0,6,0,1,0,0,1,5,0,7,2,0,4,0,0,0,0,0,3,1,0,0,0,5,2,2,4,2,0,0,0,1,0,8,0,0,2,3,0,4,0,1,4,0,1,2,0,1,0,3,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0
色乗り,0.000293903862978795,0,1,2,0,2,0,3,5,2,2,1,0,0,0,0,2,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0
