"",weight,が悪い,が良い,が良く,の良い,が悪く,もよく,にあります,も良く,も良いです,もいいです,のよい,が良いです,がよい,が高い,の高い,がいいです,がよく,がいい,はいいです,はありません,も満足しています,にある,は良いです,は高いです,がある,になり,がなります,にあるので,になります,の悪い,は良いと,も悪くなく,があり,が良いと,が高いので,もなく,があります,も良い,がいいので,にあり,は高い,は思います,は感じです,が高く,を上げて,は抜群で,になる,がなる,にありません,が悪いのか,もありません,はいいと,を上げる,が悪いと,を上げると,が違います,はなく,は感じます,のある,を上げた,が好きです,にあると,もいいですね,は良い,を考えると,になりました,といい,が高いと,をした,にない,を考えれば,が良くなく,を上げても,に優れた,が遅い,は良いですが,はないので,は良く,があれば,がありますが,は高いと,がよいです,は好みです,もいい,は最高です,が絶妙です,も高い,が鈍い,が良くない,が悪くなる
weight,"",0.0271186540207499,0.00946465699714303,0.00892261940976668,0.00766983751038193,0.00743519728772129,0.00567388762076958,0.00552317043460381,0.00533902011221921,0.00531070838969964,0.00530199738056597,0.00526160050055833,0.00515844906743568,0.00507793128366154,0.00490278921097973,0.00487627577004073,0.00484836765231057,0.00468828080572331,0.00459917944865234,0.00450108395923561,0.00446523402043857,0.00446452637667699,0.0043573153789598,0.00435662393682144,0.00431194294714589,0.00417768991017471,0.00406553395261494,0.0040017352991112,0.00397822372874785,0.00395368998581351,0.00393846056687842,0.00386837932079613,0.00378005953630916,0.0037592360002537,0.003741609402535,0.00366535312948259,0.00364318615951515,0.00363579414261471,0.00358954395448852,0.003500142802619,0.00349206094478063,0.00347321105327774,0.0034677989897447,0.00346018280049722,0.00342664606315409,0.00338574537911261,0.00326900834945565,0.00323715909362744,0.00322619428440115,0.00321605663478927,0.00320356238978548,0.00319935711470953,0.00317077477312956,0.00315112491382624,0.00314466167597898,0.00313735739695391,0.00312198614320667,0.00310940446980376,0.00310279310292515,0.00309703415730172,0.00309569134867878,0.00308016200055576,0.00305800974200212,0.00301612686682395,0.00299059718126724,0.00295924001125751,0.00289943843032651,0.00288471824854488,0.00288399146981806,0.00288290936036027,0.00288268245747441,0.0028654618124528,0.00286370534525869,0.00284511527940944,0.00284470072803765,0.00283755613344152,0.00282281915243952,0.00282030527956487,0.00279815540568562,0.00278880966539929,0.00278399101180465,0.00275388744777049,0.00274521420641105,0.00273929995439781,0.00270413484673497,0.00268037151537052,0.00267246434014785,0.00266701086517069,0.00266408426936948,0.00264053677582156,0.0026024123780301
持ち,0.000451567016683656,30,22,0,0,6,0,0,0,0,0,0,4,6,0,0,1,1,9,1,7,0,0,5,0,1,0,0,0,0,0,6,0,0,2,0,0,0,0,6,0,0,0,2,0,0,0,0,0,0,0,0,0,0,5,0,0,1,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,1,0,0,1,0,0,0,5,0
バランス,0.000422281595339498,6,14,10,20,2,5,0,6,4,0,6,7,3,2,2,3,5,4,0,0,1,0,5,0,0,0,0,0,1,0,8,1,0,9,0,1,0,1,0,0,0,0,0,0,0,0,0,2,0,0,0,4,0,4,0,0,0,0,0,0,1,0,0,2,8,0,0,0,0,0,5,0,0,0,0,0,0,3,0,0,0,0,0,2,0,0,0,0,1,2
使い勝手,0.000395626875803447,7,17,10,12,1,4,0,4,1,1,5,15,6,0,0,12,5,1,3,4,0,0,10,0,0,0,0,0,0,0,5,1,0,6,0,1,1,1,1,0,0,1,0,0,0,0,0,0,1,0,1,3,0,1,0,0,0,0,0,0,0,0,1,1,4,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,5,0,1,2,0,0,0,1,0
位置,0.000390960297228592,5,0,0,0,3,1,4,0,0,1,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,2,6,0,1,0,0,0,0,0,0,1,0,1,2,0,0,1,0,0,0,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,1,2,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,2,0,0,0,0
レスポンス,0.000389745520018226,6,8,6,2,1,0,0,6,0,1,0,0,0,0,0,0,4,1,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
ホールド感,0.000338063665915222,5,3,5,3,3,5,0,6,4,3,0,2,0,1,0,1,1,1,2,9,2,0,14,1,0,0,0,0,0,0,4,1,2,1,0,0,1,1,1,0,0,4,3,1,0,0,0,0,2,0,5,0,0,0,0,0,0,1,0,0,0,0,0,7,0,0,2,0,1,0,1,0,0,0,0,1,0,1,0,0,0,1,0,3,0,0,0,0,2,0
もち,0.000334526200342875,7,1,0,0,0,0,0,0,1,1,0,1,1,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
操作性,0.000302451256943973,6,4,8,4,0,5,1,12,9,3,0,4,2,3,0,3,3,1,4,11,2,1,6,1,0,1,0,0,0,1,10,1,1,2,0,2,0,8,2,2,0,11,3,1,0,4,0,0,3,0,1,9,0,0,0,0,1,2,0,0,1,0,0,2,3,0,1,0,0,1,1,0,0,2,0,2,2,2,1,0,0,1,0,5,1,0,0,0,1,0
質,0.000302281956500753,2,0,1,4,1,0,0,1,0,0,1,1,0,1,2,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
