"",weight,が良く,の良い,がよく,も良く,が悪い,もよく,が良いです,も良いです,のよい,が良い,が悪く,がいいです,がよい,がいい,が良いので,の高い,もいいです,も良好です,が高い,は良いです,は良好です,が悪いと,は良く,が良いと,も良い,がいいので,も高く,は良い,もいい,は良いと,も良いので,のある,が高く,が高いです,が高いので,が良くて,が悪いです,はいいですね,はいいと,も良いと,はありません,の悪い,が感じます,があり,はいいです,は感じです,がいいと,が良くない,があります,も悪くなく,といい,も満足しています,は高い,は良いのですが,が悪いので,は最高です,は悪いです,もありません,にありません,も気に入っています,が違います,もいいですね,も高い,を考えると,が良いのか,もあり,がよいです,にある,がいいですね,がイマイチ,もある,が高いと,も良好,は高く,もいいし,が低い,は思います,もよい,も良いですね,は落ちますが,も良いし,がよいと,はいい,は抜群です,もあります,がある,はよく,はよいです,もなく,に満足しています,はよいと,はあり,を考えて,も含めて,もあって,は満足しています,は高いと,に優れ,がなります,もいいと
weight,"",2.51388543694299e-24,2.3770609197104e-24,2.1412347251423e-24,2.05656986351932e-24,2.02131166827174e-24,1.98979982809337e-24,1.96779196097874e-24,1.88483266956984e-24,1.86732510850101e-24,1.84614915772143e-24,1.68264865372252e-24,1.63965763837185e-24,1.6149232916701e-24,1.57024532208127e-24,1.55144576781652e-24,1.50454204092375e-24,1.47602793085643e-24,1.47539654483436e-24,1.44744847149621e-24,1.44480886874624e-24,1.41588065750487e-24,1.41008534440247e-24,1.39245416303712e-24,1.32121042371052e-24,1.30542112020555e-24,1.30475884763799e-24,1.29929615396016e-24,1.29276586126541e-24,1.28482042583297e-24,1.27967304188044e-24,1.26994857406709e-24,1.25970432763222e-24,1.25852114301099e-24,1.22679958305669e-24,1.21802869987187e-24,1.21415283310063e-24,1.18564553620495e-24,1.16319093319693e-24,1.16128759188566e-24,1.15346582855999e-24,1.13011809162546e-24,1.11677090381382e-24,1.09695249394383e-24,1.09252771790064e-24,1.08248221897672e-24,1.04382301759048e-24,1.03559160910944e-24,1.02798925501977e-24,1.01571229638924e-24,1.01565770539683e-24,1.01537988828386e-24,1.00521051553437e-24,1.00038375696691e-24,9.98174410105935e-25,9.97150430866705e-25,9.93728672491238e-25,9.8952284638747e-25,9.81279706295714e-25,9.73393994627313e-25,9.50386483760166e-25,9.40234097038141e-25,9.3430680158019e-25,9.27023445791821e-25,9.15224953486777e-25,9.06674650640463e-25,9.03042951567176e-25,9.01693762889239e-25,8.85334059868286e-25,8.79506932739407e-25,8.78967178056825e-25,8.78654859309622e-25,8.72505502593816e-25,8.68854162208746e-25,8.6617982451083e-25,8.61863335964515e-25,8.59415451319479e-25,8.58382731600597e-25,8.51646308630995e-25,8.49242562912906e-25,8.41722702669836e-25,8.35304880600752e-25,8.33102642089951e-25,8.32107317412891e-25,8.27288616623826e-25,8.26771003912641e-25,8.23849598563383e-25,8.19617995410059e-25,8.18319243476808e-25,8.17630909729869e-25,8.08849568221102e-25,8.06984462386021e-25,8.06103941363123e-25,8.04877106226289e-25,8.04482519370591e-25,8.04287403968545e-25,8.01733359628398e-25,7.99287066834282e-25,7.97260843239004e-25,7.93471200975683e-25,7.84641283590631e-25
バランス,1.02655001454075e-25,10,20,5,6,6,5,7,4,6,14,2,3,3,4,2,2,0,0,2,5,3,4,3,9,1,0,0,2,2,8,3,0,0,1,0,1,2,2,4,11,0,0,3,0,0,0,4,1,0,1,0,1,0,0,1,0,1,0,0,0,0,0,0,8,1,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,1,1,0,1,0,2,1,0,0,0,0,0,0
持ち,8.59732223395237e-26,0,0,1,0,30,0,4,0,0,22,6,1,6,9,2,0,0,0,0,5,0,5,2,2,0,6,0,3,0,6,0,0,0,0,0,1,9,2,0,0,7,0,1,0,1,2,1,5,0,0,0,0,0,1,4,1,5,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,1,1,0,2,0,0,1,0,0,0,0,0,0,0,0,0
使い勝手,8.54563447518115e-26,10,12,5,4,7,4,15,1,5,17,1,12,6,1,3,0,1,1,0,10,5,1,1,6,1,1,0,1,1,5,0,0,0,0,0,1,2,0,3,1,4,0,1,0,3,0,3,1,1,1,0,0,0,0,0,2,0,1,1,1,0,1,0,4,0,0,5,0,4,0,0,0,1,0,1,0,1,0,1,0,0,1,0,0,0,0,0,0,1,1,1,0,1,1,0,1,0,0,0,0
色乗り,7.85368194761682e-26,2,2,0,5,0,3,1,2,2,1,0,2,0,0,0,0,0,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
レスポンス,7.71475378919809e-26,6,2,4,6,6,0,0,0,0,8,1,0,0,1,1,0,1,2,0,1,0,0,1,0,1,1,0,1,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
ホールド感,7.6744064919826e-26,5,3,1,6,5,5,2,4,0,3,3,1,0,1,3,0,3,2,1,14,9,0,1,1,1,1,0,7,3,4,4,0,1,0,0,1,0,0,0,0,9,0,1,2,2,3,1,2,1,1,2,2,0,3,0,0,1,5,2,0,0,0,0,0,0,1,1,0,0,1,1,0,0,0,0,0,4,0,0,0,0,3,2,4,0,0,0,2,0,0,1,2,0,0,3,0,0,0,0,2
発色,7.42060059281991e-26,3,1,1,3,2,6,0,4,1,0,0,0,0,3,1,0,1,0,0,2,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,1,1,0,1,0,1,2,4,0,0,0,2,1,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2,0,2,0,0,0,0,0,0,0,1,0,0,0,2,0,0,1,0,1,1,0,0,0,0,1
操作性,7.34202805817839e-26,8,4,3,12,6,5,4,9,0,4,0,3,2,1,2,0,3,3,3,6,6,0,2,2,8,2,0,2,5,10,1,0,1,0,0,0,2,1,9,6,11,1,0,1,4,3,0,1,0,1,1,2,0,4,0,1,3,1,3,0,0,0,0,3,0,0,1,1,1,1,0,0,2,0,0,0,11,0,0,0,1,1,2,6,0,0,1,4,2,1,0,1,2,1,0,1,0,0,0,1
写り,7.23439951166507e-26,4,7,0,4,2,1,1,0,1,4,0,1,0,5,1,0,0,0,0,4,1,1,2,2,2,2,1,3,3,5,0,0,0,0,0,2,0,4,2,2,6,0,0,0,7,1,1,0,0,1,0,1,0,1,0,4,0,8,2,0,4,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,4,1,0,0,1,2,1,0,1,0,0,0,0,2,2,2,0,0,0,3,0,0,0,1
携帯性,7.08358475534005e-26,2,11,0,12,3,6,5,2,0,6,2,1,3,1,1,0,1,0,1,3,3,2,4,1,1,5,1,3,0,12,1,0,0,0,1,1,1,0,0,2,11,0,0,0,10,2,1,0,0,1,1,0,0,5,2,1,5,1,1,0,0,1,0,3,0,0,0,0,0,0,0,1,0,0,4,0,12,0,0,3,1,1,0,17,0,0,0,3,1,0,2,0,2,0,0,2,0,3,0,1
色のり,6.96235096847888e-26,1,1,2,0,0,6,1,0,1,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,2,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,2,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
相性,6.95778372439523e-26,1,1,0,3,0,0,2,3,0,2,0,0,1,0,1,0,2,0,0,0,0,0,2,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2,0,1,0,0,0,1,0,2,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0
デザイン,6.86007485213854e-26,3,1,1,7,0,1,2,2,0,7,0,0,1,1,2,0,3,0,0,2,1,0,0,1,2,0,0,2,2,11,0,1,0,0,0,0,0,0,6,4,0,0,0,0,3,5,1,0,0,1,1,1,0,2,0,2,0,1,0,3,0,0,0,0,0,0,0,0,4,0,0,0,0,1,3,0,11,0,0,0,2,0,0,0,0,0,1,1,0,0,3,5,0,2,1,2,0,0,0,5
評判,6.836209292484e-26,0,14,1,0,0,0,0,0,3,1,0,0,0,3,6,3,0,0,0,0,0,0,1,0,1,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
気持ち,6.59569055202481e-26,0,13,1,0,0,0,2,0,3,7,0,9,2,9,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
もち,6.42833424333099e-26,0,0,0,0,7,0,1,1,0,1,0,0,1,1,0,0,1,0,0,1,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,1,2,2,2,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0
