"",weight,が悪い,が良く,の良い,が良い,がよく,が良いです,が悪く,も良く,もよく,も良いです,のよい,がいいです,がよい,がいい,もいいです,が悪いと,は良いです,が良いので,は良好です,も良好です,が高い,は良く,は良いと,がいいので,が悪いです,の高い,も良い,が良いと,はいいと,は良い,が良くない,はいいですね,が良くて,も良いので,の悪い,もいい,が悪いので,が高いので,が感じます,が高く,も良いと,も高く,は感じです,のある,があり,はありません,はいいです,にありません,がいいと,があります,は悪いです,も悪くなく,にある,は高い,も満足しています,もいいですね,もありません,が違います,がなります,になります,がよいです,は良いのですが,にあります,が高いです,といい,も気に入っています,にあり,は方だと,も良いし,がイマイチ,も良いですね,は最高です,もよい,はよいです,がいいですね,を考えると,がよいと,が良いのか,は落ちますが,がなる,もなく,が悪いのが,は良いですが,もあります,が高いと,もいいし,を上げて,も高い,がある,がありません,は高く,になり,が低い,は悪くないです,は思います,に満足しています,はよく,はよいと,にありますが,は抜群です
weight,"",1.74223967920607e-05,1.59892431051859e-05,1.45811557059904e-05,1.30806760204049e-05,1.27117779580553e-05,1.25436627999677e-05,1.24520596631908e-05,1.2432378201638e-05,1.15222527807848e-05,1.13934649455723e-05,1.10454719922293e-05,1.05129282797489e-05,1.04147235949903e-05,9.87903344082812e-06,9.86356528341442e-06,9.3817345840385e-06,9.07662552049443e-06,9.02041876266237e-06,8.8844106993475e-06,8.68729400448251e-06,8.62198506418429e-06,8.47182863597535e-06,8.4060970867941e-06,8.323008849674e-06,8.31592501270997e-06,7.93576858503974e-06,7.83677433111686e-06,7.82926785541612e-06,7.79615319437962e-06,7.76220655599598e-06,7.52340228311038e-06,7.28503894561763e-06,7.25596698836462e-06,7.24574766971451e-06,7.11407863629319e-06,7.03435231091628e-06,7.02372826597111e-06,7.00129713545463e-06,6.80714846234109e-06,6.78127610410526e-06,6.77593135886981e-06,6.70620113178308e-06,6.61500832921714e-06,6.6024845165479e-06,6.60212216893272e-06,6.57848950496566e-06,6.51596738068363e-06,6.51085056872308e-06,6.48138006153132e-06,6.4366677278999e-06,6.2420730364758e-06,6.20449881148995e-06,6.13213853117142e-06,6.0118643125801e-06,6.00857493583985e-06,5.96753892290394e-06,5.96038018731379e-06,5.92683658742957e-06,5.88657237721685e-06,5.86136456918257e-06,5.85640468728814e-06,5.78808606114168e-06,5.74980684820954e-06,5.74507984675255e-06,5.71091642922943e-06,5.44957962469381e-06,5.44761491222148e-06,5.41897202484768e-06,5.4099359694545e-06,5.40771624163101e-06,5.32051441933907e-06,5.30856587897375e-06,5.2845065399597e-06,5.25874468462691e-06,5.24703830837501e-06,5.21609318591085e-06,5.20150320187444e-06,5.19936768222451e-06,5.1948969238358e-06,5.18294754487729e-06,5.17045281516301e-06,5.12758674704832e-06,5.11472747446035e-06,5.07660072860495e-06,5.02112411369246e-06,5.01489803036816e-06,5.01019820750545e-06,5.00713459381909e-06,4.98741902561453e-06,4.97741810874604e-06,4.95426322645257e-06,4.92713056524836e-06,4.92564382071663e-06,4.92320236142777e-06,4.89540766572796e-06,4.89407147914574e-06,4.88170354599297e-06,4.87948629238373e-06,4.85973376099954e-06,4.85640046371052e-06
バランス,6.74462488688926e-07,6,10,20,14,5,7,2,6,5,4,6,3,3,4,0,4,5,2,3,0,2,3,8,0,2,2,1,9,4,2,1,2,1,3,0,2,1,0,3,0,11,0,0,0,0,0,0,0,4,0,1,1,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,1,1,8,0,1,0,2,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1
持ち,6.54536407809055e-07,30,0,0,22,1,4,6,0,0,0,0,1,6,9,0,5,5,2,0,0,0,2,6,6,9,0,0,2,0,3,5,2,1,0,0,0,4,0,1,0,0,0,2,0,0,7,1,0,1,0,5,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,2,0,0,0,1,0,2,0,0,0,0,1,0,0,3,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,1
使い勝手,6.18275084601328e-07,7,10,12,17,5,15,1,4,4,1,5,12,6,1,1,1,10,3,5,1,0,1,5,1,2,0,1,6,3,1,1,0,1,0,0,1,0,0,1,0,1,0,0,0,0,4,3,1,3,1,0,1,0,0,0,1,1,0,0,0,5,0,0,0,0,1,0,0,0,0,1,2,0,0,4,4,1,0,0,0,1,2,0,0,0,1,0,0,0,1,0,0,0,3,1,1,0,1,0,0
ホールド感,5.49497180403538e-07,5,5,3,3,1,2,3,6,5,4,0,1,0,1,3,0,14,3,9,2,1,1,4,1,0,0,1,1,0,7,2,0,1,4,0,3,0,0,1,1,0,0,3,0,2,9,2,2,1,1,1,1,0,0,2,0,5,0,0,0,1,3,0,0,2,0,0,1,0,1,0,0,0,2,0,0,3,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,4,0,0,1,1,4
レスポンス,5.2966987586628e-07,6,6,2,8,4,0,1,6,0,0,0,0,0,1,1,0,1,1,0,2,0,1,1,1,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0
操作性,5.06229033379753e-07,6,8,4,4,3,4,0,12,5,9,0,3,2,1,3,0,6,2,6,3,3,2,10,2,2,0,8,2,9,2,1,1,0,1,1,5,0,0,0,1,6,0,3,0,1,11,4,3,0,0,3,1,1,0,2,0,1,0,0,0,1,4,1,0,1,0,2,0,1,1,0,1,0,4,1,3,1,0,0,0,2,0,2,0,0,0,0,0,0,0,0,1,0,0,11,1,1,0,0,6
色乗り,5.02315667142636e-07,0,2,2,1,0,1,0,5,3,2,2,2,0,0,0,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
もち,4.85446722025679e-07,7,0,0,1,0,1,0,0,0,1,0,0,1,1,1,0,1,0,0,0,0,0,1,1,2,0,0,1,2,0,1,2,1,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2,0,2,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
携帯性,4.7773957714196e-07,3,2,11,6,0,5,2,12,6,2,0,1,3,1,1,2,3,1,3,0,1,4,12,5,1,0,1,1,0,3,0,0,1,1,0,0,2,1,0,0,2,1,2,0,0,11,10,1,1,0,5,1,0,0,0,1,1,0,0,0,0,5,0,0,1,0,1,0,1,0,0,1,0,3,0,3,1,0,3,0,1,0,0,0,1,4,0,0,0,0,0,0,0,0,12,0,0,2,0,17
