"",weight,が良く,の良い,がよく,のよい,が悪い,もよく,が良いです,も良いです,も良く,が悪く,がいいです,が良い,がよい,が良いので,も良好です,が悪いと,がいい,は良好です,もいいです,は良く,がいいので,の悪い,は良い,が悪いです,もいい,が良いと,も良い,が良くて,はいいと,は良いです,も良いので,が高い,はいいですね,の高い,が感じます,が良くない,は良いと,が悪いので,も高く,がいいと,が高いので,が良いのか,があります,も悪くなく,はいいです,もいいですね,は感じです,も良いと,のある,がよいです,もよい,も満足しています,といい,が高く,を考えると,は悪いです,も良いですね,も気に入っています,にありません,もいいし,もある,はありません,がイマイチ,が高いです,にある,は良いのですが,があり,もあります,は落ちますが,も良好
weight,"",2.58622714680805e-10,2.49187623827012e-10,2.3616255357679e-10,2.22338069595474e-10,2.10056591795357e-10,2.08647135760822e-10,2.05798441695919e-10,2.01285852063648e-10,2.0092187567836e-10,1.88961510163077e-10,1.79320759907112e-10,1.71519433846395e-10,1.66931122747286e-10,1.64668452937192e-10,1.64542819336735e-10,1.61887201073327e-10,1.53664804395705e-10,1.52021591244633e-10,1.4524195824743e-10,1.44201380384433e-10,1.37265467746692e-10,1.36835293731899e-10,1.36814892046174e-10,1.3038734977743e-10,1.29299884883773e-10,1.26449740481109e-10,1.2615499395412e-10,1.25529618555219e-10,1.24760152117244e-10,1.24080812394261e-10,1.23313090184862e-10,1.2224565852746e-10,1.19546341482484e-10,1.1769903956072e-10,1.16561082408279e-10,1.15649817130315e-10,1.15573225628648e-10,1.15273958498429e-10,1.15031669783603e-10,1.1489261741799e-10,1.13410584212273e-10,1.1098241011636e-10,1.09910990999321e-10,1.09800933707247e-10,1.08997658540384e-10,1.08921929804817e-10,1.075369784287e-10,1.07114160947547e-10,1.05049798603608e-10,1.03129977338376e-10,1.02580883356901e-10,1.02256756129873e-10,1.01720100654538e-10,1.01510462711594e-10,1.00946056496842e-10,9.99656063286117e-11,9.86017043820093e-11,9.83850669412875e-11,9.79607261434091e-11,9.74915005308744e-11,9.60205287164174e-11,9.58870685913535e-11,9.50856781578729e-11,9.37596858346553e-11,9.30601366061611e-11,9.19846342456112e-11,9.10446139060643e-11,9.086667015229e-11,9.05724878750399e-11,8.96579332484207e-11
バランス,1.58611794101659e-11,10,20,5,6,6,5,7,4,6,2,3,14,3,2,0,4,4,3,0,3,0,0,2,2,2,9,1,1,4,5,3,2,2,2,3,1,8,1,0,4,0,1,0,1,0,0,0,11,0,0,0,1,0,0,8,1,1,0,0,0,1,0,0,1,0,0,0,0,0,0
色乗り,1.44103837292291e-11,2,2,0,2,0,3,1,2,5,0,2,1,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,2,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0
持ち,1.4388938268586e-11,0,0,1,0,30,0,4,0,0,6,1,22,6,2,0,5,9,0,0,2,6,0,3,9,0,2,0,1,0,5,0,0,2,0,1,5,6,4,0,1,0,0,0,0,1,0,2,0,0,1,0,0,0,0,0,5,0,0,0,0,0,7,0,0,0,1,0,1,1,0
使い勝手,1.36126159837022e-11,10,12,5,5,7,4,15,1,4,1,12,17,6,3,1,1,1,5,1,1,1,0,1,2,1,6,1,1,3,10,0,0,0,0,1,1,5,0,0,3,0,0,1,1,3,1,0,1,0,5,0,0,0,0,4,0,1,1,1,1,0,4,0,0,0,0,0,0,0,1
発色,1.33076217192965e-11,3,1,1,1,2,6,0,4,3,0,0,0,0,1,0,0,3,1,1,0,0,0,0,0,1,0,0,0,0,2,0,0,0,0,1,1,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,4,2,0,0,1,0,1,0,2,0,1,0,0,0,0,1,1,0,0
色のり,1.30100545889453e-11,1,1,2,1,0,6,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,2,2,1,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,1,0,0
レスポンス,1.29806330786113e-11,6,2,4,0,6,0,0,0,6,1,0,8,0,1,2,0,1,0,1,1,1,0,1,0,0,0,1,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0
評判,1.27033346905142e-11,0,14,1,3,0,0,0,0,0,0,0,1,0,6,0,0,3,0,0,1,2,3,0,0,2,0,1,0,0,0,0,0,0,3,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
気持ち,1.19349760536825e-11,0,13,1,3,0,0,2,0,0,0,9,7,2,0,0,0,9,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0
操作性,1.16919001819566e-11,8,4,3,0,6,5,4,9,12,0,3,4,2,2,3,0,1,6,3,2,2,1,2,2,5,2,8,0,9,6,1,3,1,0,0,1,10,0,0,0,0,0,0,1,4,0,3,6,0,1,0,2,1,1,3,3,0,0,3,0,0,11,1,0,1,4,1,0,0,2
携帯性,1.15187079892343e-11,2,11,0,0,3,6,5,2,12,2,1,6,3,1,0,2,1,3,1,4,5,0,3,1,0,1,1,1,0,3,1,1,0,0,0,0,12,2,1,1,1,0,0,1,10,1,2,2,0,0,0,0,1,0,3,5,0,0,1,4,0,11,0,0,0,5,0,0,3,0
視認性,1.1485366693422e-11,0,2,1,0,1,0,0,0,2,2,1,2,0,0,0,1,0,0,0,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0
ホールド感,1.13303878073459e-11,5,3,1,0,5,5,2,4,6,3,1,3,0,3,2,0,1,9,3,1,1,0,7,0,3,1,1,1,0,14,4,1,0,0,1,2,4,0,0,1,0,0,1,1,2,0,3,0,0,1,0,2,2,1,0,1,0,0,2,0,1,9,1,0,0,3,2,0,0,0
相性,1.1322487025379e-11,1,1,0,0,0,0,2,3,3,0,0,2,1,1,0,0,0,0,2,2,0,0,0,0,0,2,0,0,2,0,0,0,0,0,0,0,1,1,0,2,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0
