"",weight,色乗り,持ち,発色,評判,色のり,レスポンス,気持ち,バランス,重量バランス,使い勝手,相性,ホールド感,視認性,描写,色,感度,ホールド性,操作性,写り,携帯性,音,もち,反応,質,出来,見た目,ヌケ,取り回し,ボケ味,デザイン,シャッター音,位置,操作感,精度,配置,描写力,感触,天気,画像,切れ,カメラ,条件,補正,解像度,電池持ち,性能,感じ,ボケ,画質,色合い,AF精度,レンズ,バッテリー,音質,大きさ,コントラスト,重さ,AF,質感,グリップ感
weight,"",4.95127775558903e-16,4.82022326927616e-16,4.74184410376346e-16,4.56715966514373e-16,4.56198387064913e-16,4.50246088583362e-16,4.49544057673575e-16,4.41284149572683e-16,3.94443615375907e-16,3.90296227819768e-16,3.85497977321892e-16,3.7936766273258e-16,3.78366907956833e-16,3.69835434997338e-16,3.69586321930183e-16,3.67972990920759e-16,3.65833717615994e-16,3.55735543639808e-16,3.53320043382015e-16,3.46839787548703e-16,3.463031388109e-16,3.45775956590238e-16,3.37573307629064e-16,3.30622042883002e-16,3.28489438016901e-16,3.21559490564622e-16,3.18944915041005e-16,3.17553034939785e-16,3.12621938457201e-16,2.97631061978237e-16,2.96047054583543e-16,2.93954287916802e-16,2.89225121676366e-16,2.8718027781978e-16,2.85792713062788e-16,2.78758823727296e-16,2.68955532523813e-16,2.67227606050864e-16,2.6689914383464e-16,2.65317782722073e-16,2.62008237175847e-16,2.55896255170083e-16,2.5549523470592e-16,2.54890828843437e-16,2.51476181209577e-16,2.43786089145635e-16,2.4292871766666e-16,2.41628442997278e-16,2.41309807652733e-16,2.39475142472347e-16,2.33826792845447e-16,2.29761891865828e-16,2.28386847070195e-16,2.2037617249377e-16,2.17175926386952e-16,2.16851389286861e-16,2.12437529310413e-16,2.11473147628168e-16,2.1051011902898e-16,2.05752110526858e-16
の良い,3.60425438217295e-17,2,0,1,14,1,2,13,20,0,12,1,3,2,2,0,1,0,4,7,11,0,0,2,4,5,0,5,0,0,1,0,0,0,2,0,0,0,15,0,4,3,2,0,0,0,5,0,0,2,1,1,5,0,0,0,1,0,0,1,0
が良く,3.5987319526956e-17,2,0,3,0,1,6,0,10,3,10,1,5,0,1,0,2,4,8,4,2,0,0,1,1,0,1,2,0,0,3,0,0,0,2,1,0,1,0,0,3,0,0,0,0,0,0,0,0,6,0,0,1,0,1,0,0,0,0,5,0
がよく,3.35866017238863e-17,0,1,1,1,2,4,1,5,2,5,0,1,1,0,0,0,1,3,0,0,0,0,1,0,0,0,0,1,0,1,1,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,1,0,1,0,0,1,0
のよい,3.2085310746198e-17,2,0,1,3,1,0,3,6,0,5,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
もよく,2.87312719179614e-17,3,6,6,0,6,0,0,5,0,4,0,5,0,0,0,0,0,5,1,6,0,0,1,0,0,0,1,0,0,1,0,1,2,0,0,0,1,0,1,0,0,0,0,1,1,0,0,0,11,2,1,0,0,0,0,0,0,0,2,0
が良いです,2.71147788183898e-17,1,7,0,0,1,0,2,7,0,15,2,2,0,0,0,0,2,4,1,5,0,1,0,1,1,0,0,1,1,2,0,0,0,0,0,0,2,0,0,0,0,0,0,0,1,0,1,1,6,0,0,0,0,0,2,0,0,0,2,0
が悪い,2.63975146571955e-17,0,36,2,0,0,6,0,6,1,7,0,5,1,0,2,2,2,6,2,3,1,7,2,2,0,0,0,0,0,0,0,5,0,2,0,0,0,0,1,0,0,2,0,1,0,0,0,0,12,0,2,1,0,0,0,0,0,1,1,1
も良いです,2.61869867989459e-17,2,5,4,0,0,0,0,4,0,1,3,4,0,3,0,0,0,9,0,2,0,1,1,0,0,0,0,1,2,2,0,0,0,1,1,0,1,0,0,0,0,0,1,0,1,0,1,1,5,1,0,0,1,0,0,0,0,0,2,1
も良く,2.60552523519221e-17,5,7,3,0,0,6,0,6,0,4,3,6,2,6,1,0,0,12,6,12,1,0,0,1,0,0,1,2,1,7,1,0,0,1,0,1,0,0,0,1,0,0,0,1,0,3,0,4,14,1,1,1,0,0,1,1,2,0,5,0
