"",weight,の良い,が良く,がよく,のよい,もよく,が良いです,も良いです,が悪い,も良く,が悪く,がいいです,も良好です,が良いので,が悪いと,が良い,の悪い,がよい,は良好です,がいい,もいいです,がいいので,は良い,の高い,は良く,もいい,が悪いです,が良くて,が良いのか,も良いので,が良くない,もよい,が良いと,も良い,は良いです,が悪いので,もいいですね,が感じます,はいいと,がいいと,を考えると,があります,がよいです,といい,のある,が高い,は感じです,も悪くなく,も気に入っています,もある,はいいですね,もいいし,も満足しています,も良いですね,はいいです,は良いと,にある,がイマイチ,にありません,があり,は悪いです
weight,"",6.39903074186483e-22,6.32244198988092e-22,5.90888348268007e-22,5.6600350084109e-22,5.05088672155508e-22,4.84149680294041e-22,4.72346106283262e-22,4.61140621958138e-22,4.59755630439861e-22,4.57639039480689e-22,4.19155560347508e-22,4.12484669557278e-22,3.8922928230019e-22,3.79038817324749e-22,3.78731469236136e-22,3.69997927581412e-22,3.69377063411581e-22,3.61820928243643e-22,3.51074670518206e-22,3.43001154914051e-22,3.2880591786201e-22,3.28153128254653e-22,3.26446856882479e-22,3.22475967890941e-22,3.0397456548467e-22,2.98563144491537e-22,2.93036039775924e-22,2.86871540791902e-22,2.85769891947822e-22,2.80426720002939e-22,2.70584536691652e-22,2.68154010280517e-22,2.6624300318833e-22,2.65719372553094e-22,2.64341685307189e-22,2.64008950612074e-22,2.63237472518749e-22,2.62294938160235e-22,2.61067185387735e-22,2.60712901474659e-22,2.55718976493905e-22,2.54564258302429e-22,2.53795476681886e-22,2.53532866583719e-22,2.52966249191414e-22,2.52288990280971e-22,2.50495201755132e-22,2.48556921389428e-22,2.48308818576278e-22,2.47284627848954e-22,2.43370835069832e-22,2.43364274871157e-22,2.40404844270077e-22,2.38597241354493e-22,2.34489947666722e-22,2.3210871791807e-22,2.28578003413364e-22,2.28391596140127e-22,2.27110086997211e-22,2.25210358867338e-22
色乗り,3.72354915013898e-23,2,2,0,2,3,1,2,0,5,0,2,1,0,1,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0
バランス,3.6677116875033e-23,20,10,5,6,5,7,4,6,6,2,3,0,2,4,14,0,3,3,4,0,0,2,2,3,2,2,1,1,3,1,0,9,1,5,1,0,3,4,4,8,0,0,0,0,2,0,1,0,1,2,0,1,1,0,8,0,0,0,0,1
持ち,3.66154182930302e-23,0,0,1,0,0,4,0,30,0,6,1,0,2,5,22,0,6,0,9,0,6,3,0,2,0,9,1,0,0,5,0,2,0,5,4,0,1,0,1,0,0,1,0,0,0,2,0,0,0,2,0,0,0,1,6,0,0,0,0,5
発色,3.46756340502184e-23,1,3,1,1,6,0,4,2,3,0,0,0,1,0,0,0,0,1,3,1,0,0,0,0,1,0,0,0,0,1,0,0,0,2,0,0,1,0,0,0,0,0,2,0,0,1,1,1,0,0,2,4,0,1,0,0,0,0,1,1
評判,3.43424569810136e-23,14,0,1,3,0,0,0,0,0,0,0,0,6,0,1,3,0,0,3,0,2,0,3,1,2,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
色のり,3.43121616052456e-23,1,1,2,1,6,1,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,2,0,0,0,0,0,0,0,0,0,2,1,0,1,0,1,0,0,0,1,0,0,0,0,0
レスポンス,3.38128069064401e-23,2,6,4,0,0,0,0,6,6,1,0,2,1,0,8,0,0,0,1,1,1,1,0,1,0,0,1,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
気持ち,3.22471155498013e-23,13,0,1,3,0,2,0,0,0,0,9,0,0,0,7,0,2,0,9,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0
使い勝手,3.21117674849491e-23,12,10,5,5,4,15,1,7,4,1,12,1,3,1,17,0,6,5,1,1,1,1,0,1,1,2,1,0,0,1,0,6,1,10,0,1,1,3,3,4,1,5,0,0,0,0,1,1,0,0,1,0,1,3,5,0,0,1,0,0
重量バランス,2.90974023945901e-23,0,3,2,0,0,0,0,1,0,0,1,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0
相性,2.88713619142454e-23,1,1,0,0,0,2,3,0,3,0,0,0,1,0,2,0,1,0,0,2,0,0,0,2,0,0,0,1,0,0,0,2,0,0,1,0,0,2,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0
