"",weight,色のり,色乗り,評判,レスポンス,出来,持ち,バランス,気持ち,重量バランス,発色,相性,写り,視認性,ホールド感,携帯性,ホールド性,反応,質,ヌケ,カメラ,描写,音,描写力,操作性,位置,取り回し,もち,使い勝手,デザイン,感度,配置,レンズ,天気,補正,色,解像度,見た目,ボケ味,切れ,感触
weight,"",4.5524743831021e-11,4.53576876382585e-11,4.31001857553554e-11,4.18482083433479e-11,3.98525793745306e-11,3.85884785702247e-11,3.70428785946832e-11,3.64178637920259e-11,3.58443213590563e-11,3.55634875671317e-11,3.49785957610249e-11,3.49027017669008e-11,3.42232483067056e-11,3.38508765534073e-11,3.34636441830216e-11,3.17628260370794e-11,3.15905221459838e-11,3.14330711487355e-11,3.13335349297785e-11,3.09049289203058e-11,3.06408623099899e-11,3.02241632678978e-11,2.9216168737463e-11,2.91052288999109e-11,2.90006964519161e-11,2.89481718322341e-11,2.84405237646461e-11,2.83430867989489e-11,2.82322807069459e-11,2.78830759897876e-11,2.74052591605023e-11,2.73533703277817e-11,2.72499565062253e-11,2.61405777753229e-11,2.51260656120077e-11,2.48944831890972e-11,2.48911020704e-11,2.47031271589987e-11,2.40873391521182e-11,2.36224947874434e-11
のよい,3.97370259490564e-12,1,2,3,0,1,0,6,3,0,1,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,5,0,0,0,0,1,0,0,0,0,0,1,0
の良い,3.90551692693819e-12,1,2,14,2,5,0,20,13,0,1,1,7,2,3,11,0,2,4,5,3,2,0,0,4,0,0,0,12,1,1,0,5,15,0,0,0,0,0,4,0
が良く,3.79707246173603e-12,1,2,0,6,0,0,10,0,3,3,1,4,0,5,2,4,1,1,2,0,1,0,0,8,0,0,0,10,3,2,1,1,0,0,0,0,1,0,3,1
がよく,3.60750365172697e-12,2,0,1,4,0,1,5,1,2,1,0,0,1,1,0,1,1,0,0,0,0,0,0,3,0,1,0,5,1,0,1,0,0,1,0,0,0,0,0,0
もよく,3.10675204178824e-12,6,3,0,0,0,6,5,0,0,6,0,1,0,5,6,0,1,0,1,0,0,0,0,5,1,0,0,4,1,0,0,0,0,0,0,1,0,0,0,1
も良く,2.94548855521651e-12,0,5,0,6,0,7,6,0,0,3,3,6,2,6,12,0,0,1,1,0,6,1,1,12,0,2,0,4,7,0,0,1,0,0,1,1,0,1,1,0
の悪い,2.91759709918464e-12,1,0,3,0,4,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,1,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0
が良いです,2.89961552141055e-12,1,1,0,0,1,7,7,2,0,0,2,1,0,2,5,2,0,1,0,0,0,0,0,4,0,1,1,15,2,0,0,0,0,0,0,0,0,1,0,2
が悪く,2.85009531357975e-12,0,0,0,1,0,6,2,0,0,0,0,0,2,3,2,1,1,1,0,0,0,1,0,0,3,0,0,1,0,1,0,0,1,0,1,0,0,0,0,0
