"",weight,のよい,がよく,が良く,の良い,の悪い,もよく,も良好です,が良いです,が悪く,が良いのか,が悪いと,も良いです,の高い,がいいです,は良好です,もよい,もいいですね,は良く,も良く,が悪い,が良い,がいいと,はいいと,が良くて,で満足しています,もいいです,がよい,が良いので,にある,も良くて,が良いと,も悪くなく,が高い,もいい,もいいし,が良くなりました,は良い,を考えると,がよいです,といい
weight,"",8.35340707785656e-19,8.06093107458591e-19,7.10748196680544e-19,6.81210999971222e-19,6.53176919740228e-19,6.41347368790694e-19,5.55448514017605e-19,5.3516984539771e-19,5.28790707939275e-19,5.13754222224421e-19,4.98227718301007e-19,4.97689516213072e-19,4.62479308947082e-19,4.61495088059176e-19,4.20468295526319e-19,4.0472644148493e-19,4.00785478372183e-19,3.9659072491794e-19,3.95896797994923e-19,3.92263682899011e-19,3.899417694862e-19,3.87423513281869e-19,3.87344513007733e-19,3.81753308144889e-19,3.81192411090175e-19,3.7620890441652e-19,3.75160677648676e-19,3.7059253390348e-19,3.65740117887507e-19,3.49277681956703e-19,3.49137072753024e-19,3.48390692090702e-19,3.43804826004252e-19,3.41370755196705e-19,3.39608285665148e-19,3.38580578412028e-19,3.36508210443754e-19,3.35642455878094e-19,3.31178826669523e-19,3.30590564016375e-19
色のり,6.01149068551187e-20,1,2,1,1,1,6,1,1,0,0,0,0,0,1,0,1,2,0,0,0,0,0,0,0,2,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0
色乗り,5.34169133550587e-20,2,0,2,2,0,3,1,1,0,0,1,2,0,2,1,0,1,0,5,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2
評判,5.14567187549368e-20,3,1,0,14,3,0,0,0,0,1,0,0,3,0,0,0,0,1,0,0,1,0,0,0,0,0,0,6,0,0,0,0,0,2,0,0,0,0,1,0
重量バランス,5.0797004740657e-20,0,2,3,0,0,0,1,0,0,1,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,2,1,0,0,0,1,0,1,0,0
発色,4.84279029158167e-20,1,1,3,1,0,6,0,0,0,0,0,4,0,0,1,0,0,0,3,2,0,0,0,0,0,1,0,1,0,0,0,1,0,1,2,0,0,0,0,2
出来,4.7969420880467e-20,1,0,0,5,4,0,0,1,0,2,0,0,0,0,0,0,0,0,0,0,1,1,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
レスポンス,4.77417852747928e-20,0,4,6,2,0,0,2,0,1,0,0,0,0,0,0,1,0,1,6,6,8,0,0,1,1,1,0,1,0,2,0,0,0,0,0,0,1,0,0,0
気持ち,4.53349187681725e-20,3,1,0,13,0,0,0,2,0,0,0,0,0,9,0,0,0,0,0,0,7,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,2,0
相性,3.91508207754439e-20,0,0,1,1,0,0,0,2,0,1,0,3,0,0,0,0,0,2,3,0,2,2,2,0,0,2,1,1,0,1,2,0,0,0,0,0,0,0,0,0
写り,3.78322822545069e-20,1,0,4,7,0,1,0,1,0,0,1,0,0,1,1,1,0,2,4,2,4,1,2,2,0,0,0,1,2,2,2,1,0,3,0,0,3,0,0,0
ホールド感,3.78082922666255e-20,0,1,5,3,0,5,2,2,3,0,0,4,0,1,9,0,0,1,6,5,3,1,0,1,0,3,0,3,0,0,1,1,1,3,0,0,7,0,1,2
ホールド性,3.74673044789313e-20,0,1,4,0,0,0,0,2,1,0,0,0,0,0,3,0,0,0,0,2,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0
反応,3.7411897109865e-20,0,1,1,2,0,1,0,0,1,0,0,1,0,1,0,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
